com_y,sim_com_y,com_x,sim_com_x,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40
-0.012317,0.0142549,0.0039622,-0.0211388,-85.1234,104.531,-14.2103,21.4198,-282.634,-7.70963,381.248,-143.724,-28.59,-49.9729,-10.3942,30.0,-24.0,10.1704,-322.22,27.6398,416.667,-162.717,-60.1981,-58.7829,-14.4897,30.0,-24.0,9.71502,-85.1234,-85.1234,-85.1234,-85.1234,-3.11106,-0.579402,12.1111,0.147339,11.5999,-18.7725,76.2464,-5.23762,1.48829,1.55436,13.3159,1.01352
-0.0141666,0.0129667,0.00351614,-0.0213181,-85.96,109.955,-15.339,21.924,-299.177,-16.9573,361.702,-109.954,-13.3164,-56.3,-6.37928,30.0,-24.0,9.20258,-323.488,6.56865,408.383,-148.174,-35.7626,-59.2079,-9.71012,30.0,-24.0,9.72002,-85.96,-85.96,-85.96,-85.96,-3.99007,0.0164931,13.045,0.821239,10.383,-18.0878,75.6461,-4.85718,1.53307,1.47155,13.6546,0.735943
-0.0156287,0.0117862,0.00275238,-0.0215298,95.447,-111.613,18.3113,-20.1176,-296.886,-17.2643,378.385,-124.574,-7.33745,-53.8666,-3.2243,30.0,-24.0,7.75056,-346.362,-3.36461,437.822,-159.028,-21.804,-64.7997,-4.83873,30.0,-24.0,8.17233,95.447,95.447,95.447,95.447,-0.0799678,3.8851,-13.4829,0.774975,11.2183,-15.0826,76.031,-4.24078,1.34421,0.835209,13.7018,0.496544
-0.0166793,0.0108437,0.00185267,-0.0217625,95.4208,-111.404,16.6796,-19.1955,-253.604,-16.0078,357.07,-140.73,-9.5531,-48.0521,-2.53465,30.0,-24.0,4.22802,-355.717,-7.0301,454.447,-158.608,-19.6875,-62.5089,-3.26984,30.0,-24.0,4.27078,95.4208,95.4208,95.4208,95.4208,-5.1654,3.11234,-10.5683,2.77757,-95.6047,66.7576,-27.3014,-21.251,3.09048,21.002,-13.9581,0.76768
-0.0174644,0.0101131,0.00123159,-0.022041,90.8745,-102.183,7.4911,-10.6544,-9.423,-15.8607,13.7646,-11.3113,-15.2008,-15.8428,-2.10563,-1.94475,-19.6902,1.38781,-381.211,-11.6991,491.875,-175.78,-20.7956,-60.9432,-2.22522,30.0,-23.8513,0.476026,90.8745,90.8745,90.8745,90.8745,-5.56383,3.91696,-11.5623,1.0685,-126.065,80.1356,-9.09313,-39.0929,4.19728,39.3774,-14.2623,1.95924
-0.0181978,0.00932985,0.000511196,-0.0223459,93.5672,-107.992,13.5001,-17.8572,276.733,-14.7645,-357.024,152.342,-18.7469,48.7159,0.611978,-30.0,20.3771,2.57196,-373.772,-14.7552,475.63,-173.621,-22.8796,-57.9447,-0.872152,30.0,-24.0,-0.962669,93.5672,93.5672,93.5672,93.5672,-6.33033,3.37158,-9.62497,2.05951,-130.47,92.6948,-16.3709,-51.1986,3.98349,52.7796,-13.331,2.30386
-0.0189753,0.00860191,-5.17054e-05,-0.0225596,89.0557,-103.426,12.9981,-17.8083,265.811,-14.3593,-312.3,124.198,-19.6986,49.6037,2.75949,-30.0,24.0,4.52717,-373.946,-15.6271,503.519,-202.84,-22.842,-55.612,1.14889,30.0,-24.0,-0.467181,89.0557,89.0557,89.0557,89.0557,-7.70719,2.69526,-8.70042,2.7497,-132.643,96.4477,-19.6703,-58.6645,3.76529,60.7108,-14.5443,3.41541
-0.0197232,0.00762682,-0.000154575,-0.022708,80.2274,-92.303,7.95681,-12.6687,166.608,-11.35,-265.372,134.509,-19.3824,19.8209,4.47204,-30.0,19.4427,5.64354,-373.759,-9.60204,488.042,-191.191,-24.5826,-54.7847,1.77358,28.8118,-15.4489,-0.47234,80.2274,80.2274,80.2274,80.2274,-11.3825,2.33751,-6.5164,4.87664,-142.879,109.271,-23.8041,-62.031,2.18343,63.147,-14.4471,3.75537
-0.0203207,0.00684232,-6.6904e-05,-0.022722,12.3506,-24.0248,-0.726006,-3.41379,-254.751,-11.1693,311.037,-102.827,-16.1877,-50.2122,4.90594,17.8039,-7.83882,5.6031,-342.928,-7.88055,411.405,-149.807,-20.278,-56.1003,0.4146,22.3325,-7.53091,-1.66415,12.3506,12.3506,12.3506,12.3506,-14.0196,1.72766,-4.95366,3.03143,-144.827,88.2884,-29.7756,-60.9416,0.462504,60.5988,-13.6392,3.18087
-0.0207933,0.0059544,0.000313411,-0.0225822,77.4532,-94.0162,10.3763,-14.7724,173.069,-9.49476,-275.727,150.597,-16.2773,28.1965,5.65677,-30.0,18.6363,5.32807,-308.175,-7.26887,374.242,-136.316,-21.3283,-54.6863,-0.876559,20.0305,-6.16297,-1.61494,77.4532,77.4532,77.4532,77.4532,-5.83493,2.71368,-10.8858,0.988362,-139.256,81.8422,-26.581,-77.2805,-13.9023,55.0153,-2.60917,-1.07535
-0.0212353,0.00531119,0.000636918,-0.022295,10.7051,-25.3952,0.750703,-3.48851,-242.653,-10.3509,284.932,-85.9783,-13.8652,-49.8222,5.44668,15.5539,-6.30122,5.84709,322.262,-8.3431,-358.944,131.173,-18.6935,65.2488,-1.09758,-30.0,24.0,1.83668,10.7051,10.7051,10.7051,10.7051,-14.15,1.61375,-4.89987,3.16453,-147.523,65.1926,-33.98,-51.6471,-0.9356,47.1842,-13.7024,1.94897
-0.0218028,0.00485519,0.00115178,-0.0218572,75.7737,-92.914,12.1183,-14.5042,172.927,-8.89508,-283.06,159.152,-11.9349,26.0603,5.30319,-30.0,14.3391,5.86873,315.688,-11.0251,-328.946,110.203,-14.9125,64.9672,-0.378066,-30.0,24.0,2.77952,75.7737,75.7737,75.7737,75.7737,-5.49629,2.38413,-11.052,1.08271,-138.654,60.0092,-29.5864,-64.7814,-14.2884,39.3255,-2.27356,-2.65993
-0.0222601,0.00457326,0.00150658,-0.0213295,-11.662,-4.02277,3.08573,-4.16167,-311.328,-9.29502,432.237,-168.862,-6.84195,-48.7061,3.79655,30.0,-12.7254,5.8515,335.781,-9.60453,-419.102,161.036,-13.0971,57.0489,0.740423,-30.0,17.4316,3.85466,-11.662,-11.662,-11.662,-11.662,-9.10167,1.08362,-1.48819,1.182,-26.1128,50.723,74.9697,-23.5784,15.3418,35.6138,-2.96025,-0.451828
-0.02276,0.00440597,0.00170634,-0.02082,78.3795,-96.6533,18.8569,-18.7977,244.015,-7.22484,-283.31,124.724,-6.72908,54.406,1.66962,-30.0,24.0,3.47826,313.227,-11.1758,-332.71,112.721,-9.64193,64.0027,1.15381,-30.0,24.0,2.93034,78.3795,78.3795,78.3795,78.3795,-4.89659,2.26924,-11.5294,1.19833,-130.686,44.9125,-26.8696,-51.8182,-13.7912,23.7746,-1.9422,-4.42814
-0.0231541,0.00428134,0.0022194,-0.0203389,81.2282,-97.7562,18.6943,-17.9082,272.621,-8.74835,-335.557,144.984,-7.39531,51.9065,-0.891226,-30.0,24.0,1.5466,315.938,-14.739,-322.851,101.912,-7.76133,63.1787,1.21224,-30.0,24.0,2.46566,81.2282,81.2282,81.2282,81.2282,-6.55633,1.97414,-9.46658,2.61962,-138.103,35.837,-33.1489,-25.1522,-0.0290368,16.8578,-13.4361,-0.959485
-0.0236408,0.00412068,0.00242171,-0.0199395,82.7508,-97.6252,18.747,-17.542,280.48,-10.3809,-351.934,154.166,-7.788,51.1897,-2.42228,-30.0,23.8971,0.923744,318.304,-16.8917,-320.767,99.5847,-6.47295,62.2586,1.82345,-30.0,24.0,3.33747,82.7508,82.7508,82.7508,82.7508,-0.622922,1.34041,10.7282,-1.57406,-135.618,32.8889,-33.141,-20.2182,-0.738415,11.1649,-13.1432,-1.16493
-0.0242201,0.003865,0.00257075,-0.0196232,-83.9013,92.2294,-6.93409,11.4933,-302.034,-9.88808,398.902,-133.103,-7.91349,-42.508,-5.31001,30.0,-24.0,1.28674,-123.488,-11.989,150.798,-34.1694,-9.51087,-9.63099,-0.0861718,18.478,-7.41847,4.56302,-83.9013,-83.9013,-83.9013,-83.9013,2.40777,1.54067,-3.99649,0.0550818,-4.76584,12.4466,-73.0348,-1.13439,-2.62814,-0.152767,-12.9906,-0.0426457
