com_y,sim_com_y,com_x,sim_com_x,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40
-0.0205792,0.0090222,-0.00678027,-0.0349638,-3.50648,15.1813,-0.742161,2.05419,-299.563,-21.5461,399.485,-160.28,-6.99293,-53.8092,2.47428,30.0,-22.4107,4.97735,-156.208,109.745,231.833,-117.102,-112.174,-23.0501,-24.352,19.2123,-24.0,1.15911,-3.50648,-3.50648,-3.50648,-3.50648,16.1774,3.54896,-0.936745,-2.89962,-64.8916,-17.5484,40.1656,-3.59077,-8.92701,-8.78867,12.0322,-3.00457
-0.0215735,0.00793333,-0.00679165,-0.0349623,-86.9303,113.149,-17.1505,21.8658,-314.67,-16.2184,406.689,-165.695,-3.30414,-57.858,3.60283,30.0,-24.0,7.02835,-380.341,72.763,435.234,-160.023,-67.0173,-83.2804,-10.7409,30.0,-24.0,12.2835,-86.9303,-86.9303,-86.9303,-86.9303,-0.808041,-0.297929,13.9315,-0.217222,18.2376,-26.4413,76.558,11.6171,10.6432,-1.49335,7.02699,1.9858
-0.0220163,0.0070262,-0.00682753,-0.0349686,-89.1104,117.445,-17.0571,22.0773,295.488,-6.1121,-354.881,128.106,2.77915,55.6716,5.03345,-30.0,24.0,7.94733,-338.562,41.1256,414.245,-164.199,-43.4287,-59.7255,-12.4501,30.0,-24.0,10.4519,-89.1104,-89.1104,-89.1104,-89.1104,0.840954,1.71844,-13.6255,0.186933,7.76143,-10.078,78.0912,-6.29588,-1.52945,-0.736253,15.0689,-2.36485
-0.0222117,0.00656306,-0.00679417,-0.0349071,3.42028,-16.9247,0.00559277,-2.17604,297.373,-0.870218,-380.933,152.105,1.35573,55.0258,2.9167,-30.0,24.0,3.7912,85.2961,15.5082,-211.223,109.201,-25.7648,-2.48403,-10.095,-22.5054,-1.87971,-0.392149,3.42028,3.42028,3.42028,3.42028,14.3831,2.81244,-0.797577,-4.04742,-60.4758,12.9592,22.861,-6.07017,-7.61529,-2.52606,7.31368,-5.77132
-0.0225612,0.00627635,-0.00659364,-0.0348538,84.1443,-113.211,13.7782,-17.8917,312.62,-6.42613,-400.918,158.533,-4.01607,57.8914,1.47993,-30.0,24.0,1.16846,240.231,-15.855,-256.078,87.7988,-14.2541,68.1288,-6.71464,-30.0,13.276,-7.35127,84.1443,84.1443,84.1443,84.1443,-0.152478,0.454557,11.5176,-0.658634,-49.6728,39.425,-40.3688,-6.32164,-13.4044,-3.57718,-4.54428,-9.70355
-0.023164,0.00597852,-0.00632906,-0.0347567,84.5923,-112.397,12.8544,-16.5638,-301.692,-11.8574,367.861,-136.243,-9.59397,-53.394,1.88027,30.0,-24.0,3.19654,216.532,-33.2682,-209.983,56.2736,-9.46585,71.0401,-2.41987,-30.0,4.83558,-9.28174,84.5923,84.5923,84.5923,84.5923,-3.08417,-0.0328775,12.6624,-1.04296,-35.358,58.0981,-45.6878,-7.98486,-18.3991,-6.73275,1.17766,-11.7628
-0.0238921,0.0055428,-0.00626973,-0.0345655,-84.1537,104.767,-13.8604,17.1385,-293.075,-13.6792,375.868,-146.426,-11.4983,-54.1599,3.7219,30.0,-23.2195,6.80281,172.849,-42.8463,-135.426,18.2784,-4.87006,66.7066,1.84189,-30.0,-1.49539,-8.6677,-84.1537,-84.1537,-84.1537,-84.1537,-2.5767,-0.444082,11.9261,-0.59974,-45.0819,63.9165,-35.3547,-6.54545,-18.1517,-8.11231,1.41685,-11.886
-0.0245892,0.00506887,-0.00608038,-0.0343338,-11.5317,21.3857,-2.48494,5.19003,-295.002,-13.031,379.704,-148.282,-9.75435,-53.3855,5.16436,30.0,-23.2207,8.77135,154.523,-46.6046,-139.745,36.8392,1.37013,64.5069,4.59568,-30.0,6.64191,-8.4317,-11.5317,-11.5317,-11.5317,-11.5317,12.4432,1.64144,0.666331,-4.15741,-54.0035,64.8334,-25.6295,-6.633,-17.8996,-8.45486,1.6776,-11.5272
-0.0251686,0.00456518,-0.00603689,-0.0340652,-92.6755,110.81,-15.522,20.8444,305.382,-9.6866,-369.933,140.836,-9.64205,58.1419,6.00924,-30.0,24.0,8.20453,95.3526,-49.9864,-165.296,101.784,7.05449,53.6063,5.94458,-30.0,23.0653,-9.02999,-92.6755,-92.6755,-92.6755,-92.6755,-3.36812,-0.485764,12.6803,-1.14235,-4.79723,59.515,-72.4877,15.1155,-4.01289,-6.9761,-8.34005,-9.6847
-0.0256466,0.00409298,-0.00600354,-0.0338071,-8.90125,21.5161,5.27637,-5.44584,-302.08,-11.6932,383.605,-138.271,-7.81438,-52.8877,5.84196,30.0,-24.0,7.93043,-1006.4,-98.6324,1263.97,-448.598,28.96,-75.1655,-51.0843,30.0,-24.0,-13.2506,-8.90125,-8.90125,-8.90125,-8.90125,12.1189,1.45674,-1.80242,-3.0156,24.3766,37.0641,72.3906,13.163,2.8864,-2.694,16.4074,-12.2379
