com_y,sim_com_y,com_x,sim_com_x,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40
-0.0123971,-0.0217324,0.000795052,-0.000334444,-10.8604,37.2598,6.0221,-2.8358,320.152,-19.4024,-379.084,146.091,-18.7232,58.6222,-5.95062,-30.0,23.5789,11.1913,257.187,32.0389,-323.461,115.072,-57.514,42.1839,-15.2925,-30.0,7.22165,11.284,-10.8604,-10.8604,-10.8604,-10.8604,15.4162,2.96193,-0.725719,-3.38012,52.4754,-23.5663,12.8484,27.2314,16.6447,-2.68665,-0.0251206,3.16253
-0.0140781,-0.0229623,0.00113696,-0.00047606,3.26621,20.9498,1.91498,-4.32971,285.667,31.0408,-359.607,123.327,-55.5949,46.0662,-15.1052,-30.0,10.3849,10.8508,322.179,-25.3798,-407.614,148.52,-9.81254,59.4935,-3.98875,-30.0,23.7933,5.97606,3.26621,3.26621,3.26621,3.26621,10.6508,1.70083,-0.529348,-5.02512,-98.1075,-28.2657,1.17298,-26.2291,-12.954,5.7457,0.366118,-4.62629
-0.0156458,-0.0241741,0.00200572,-0.000412602,5.30689,17.1965,3.90151,-9.75226,300.264,-23.661,-393.784,136.268,-9.86261,53.4075,-4.96252,-30.0,20.31,5.43584,335.195,-23.7683,-397.537,122.624,-7.14655,64.3559,0.680245,-30.0,24.0,7.53771,5.30689,5.30689,5.30689,5.30689,13.7915,-1.16729,-0.176664,-4.82032,-91.9758,-15.3983,7.87289,-18.5783,-10.2038,3.51694,2.82685,-4.82411
-0.016943,-0.0252459,0.00317708,-0.000138998,-3.36693,18.6082,-4.1524,1.06901,307.516,-21.0198,-436.693,165.568,-8.02417,57.9811,-1.70225,-30.0,24.0,6.61786,362.018,-15.3253,-391.064,99.3883,-11.8908,66.8019,0.714486,-30.0,24.0,7.33353,-3.36693,-3.36693,-3.36693,-3.36693,16.4422,2.11443,-0.543708,-3.83453,-90.3068,14.8343,-10.2231,-26.8124,-20.6263,0.14418,-2.24391,-9.21609
-0.0179007,-0.0260801,0.00429909,0.000168775,29.1604,-23.9797,11.6203,-16.2812,313.24,-13.5501,-384.311,119.756,-12.1083,60.1616,-2.88705,-30.0,24.0,5.73819,241.851,-16.2643,-411.123,188.512,-12.1743,28.0884,2.74249,-30.0,24.0,5.08863,29.1604,29.1604,29.1604,29.1604,19.448,-14.7845,-0.096897,-1.68011,-16.0658,12.5362,27.2543,0.271597,-2.75559,-5.96336,12.0582,3.18683
-0.0187616,-0.0267378,0.00512969,0.00041372,4.36069,0.947477,3.67886,-4.78251,342.122,-15.8809,-444.422,148.106,-12.5157,54.08,-0.861337,-30.0,24.0,2.53549,344.756,-13.889,-423.738,144.127,-14.4075,59.8708,3.42733,-30.0,24.0,4.89291,4.36069,4.36069,4.36069,4.36069,21.7084,-19.3612,-0.808215,0.317249,-24.2626,29.6635,5.29326,0.722732,-5.34779,-7.71904,5.59712,2.79839
-0.0195,-0.0275509,0.00617329,0.000594115,-70.7921,70.8358,-0.803085,2.82009,322.991,-14.8552,-389.726,117.948,-16.2017,55.687,0.28774,-30.0,24.0,2.71191,331.649,-10.3575,-407.157,145.395,-15.2927,57.3275,2.60544,-30.0,24.0,4.89341,-70.7921,-70.7921,-70.7921,-70.7921,22.194,-22.272,-0.464588,0.456059,22.9285,32.8666,49.5986,-1.98063,-6.02227,-7.55204,8.06012,-1.05936
-0.0200547,-0.0282982,0.00699065,0.000792866,-70.4354,61.438,1.67827,2.5036,-270.485,-16.5032,321.983,-123.212,-14.6828,-52.4503,1.47133,30.0,-14.9766,4.15051,336.069,-4.19744,-395.672,145.147,-15.6751,56.9917,0.636877,-30.0,24.0,3.44474,-70.4354,-70.4354,-70.4354,-70.4354,6.09339,-25.9701,12.8645,4.86912,37.12,38.4037,44.4441,2.36364,-4.82105,-8.98681,7.85317,-0.220775
-0.020407,-0.0290284,0.00740904,0.00102023,-74.7961,61.7422,1.19179,6.86215,-282.157,-11.9653,280.283,-41.8911,-15.9186,-46.5202,2.75719,30.0,15.3039,4.88261,345.971,-1.15055,-433.496,187.156,-17.7295,56.7994,-1.72967,-30.0,24.0,1.78471,-74.7961,-74.7961,-74.7961,-74.7961,8.46731,-25.2705,12.4902,5.31285,41.4492,37.7574,45.1471,3.40375,-4.14207,-9.32749,8.51722,0.685512
-0.0206333,-0.0297024,0.00723985,0.00121921,-90.8317,72.2519,1.53333,6.97228,-290.466,-9.00418,316.308,-53.9468,-16.2821,-44.9307,4.07976,30.0,9.45389,5.44945,-332.496,1.50736,432.181,-135.217,-21.5147,-56.3077,-1.50972,30.0,-13.5901,0.765707,-90.8317,-90.8317,-90.8317,-90.8317,8.75002,-23.9397,12.5682,5.06482,50.4076,30.8982,55.2717,5.82526,-1.62498,-8.39415,9.16426,1.01573
