com_y,sim_com_y,com_x,sim_com_x,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40
-0.011347,-0.0219776,0.00753376,0.00267783,98.6193,-115.321,17.3351,-20.0673,-324.442,133.579,338.846,-97.747,-125.953,-80.2919,-23.8337,30.0,-12.8199,-6.43023,334.818,-14.6268,-394.487,153.867,-16.2871,62.6534,-7.77752,-30.0,24.0,8.63087,98.6193,98.6193,98.6193,98.6193,-1.53076,1.66025,13.8419,0.678411,-9.80085,-20.7457,-81.1116,-5.34695,-0.905316,5.87155,-14.0728,1.33423
-0.0127404,-0.0230707,0.00745258,0.0024462,96.3041,-114.642,17.0294,-20.0485,-308.205,131.335,341.047,-108.613,-123.962,-78.2504,-25.0396,30.0,-15.7528,-5.82999,333.15,-14.9101,-392.434,155.803,-15.1879,61.9468,-7.6849,-30.0,24.0,7.99863,96.3041,96.3041,96.3041,96.3041,-1.33203,1.46209,13.7704,0.727318,-10.3769,-21.2866,-79.5546,-4.30051,-0.264518,5.85392,-13.676,1.49562
-0.0141103,-0.0241195,0.00724703,0.00228018,95.3109,-115.433,17.2432,-20.5342,-354.257,117.915,420.841,-146.238,-115.821,-77.5351,-25.9298,30.0,-22.9056,-7.41605,341.394,-18.1547,-396.067,154.48,-15.6885,63.7935,-7.75096,-30.0,24.0,6.22984,95.3109,95.3109,95.3109,95.3109,-0.738143,1.69292,13.487,0.695775,-12.6893,-17.7255,-81.7496,-4.79447,-1.21793,5.54113,-14.0606,1.03752
-0.0154411,-0.0251473,0.00694604,0.00210937,13.1152,-25.9274,1.42144,-3.35698,268.883,77.4055,-332.101,142.195,-92.7727,58.72,-17.9954,-30.0,24.0,-10.6049,358.268,-17.8035,-400.755,146.245,-21.3469,68.4025,-4.86229,-30.0,24.0,5.04967,13.1152,13.1152,13.1152,13.1152,15.1751,3.83514,0.548355,-3.55063,-88.5499,-3.578,-13.9607,-26.0317,-15.3343,3.27742,-2.96839,-3.51328
-0.0167055,-0.0261395,0.00670533,0.00189793,-39.5219,60.6044,-12.3662,15.5856,-976.499,74.4091,1304.22,-469.923,-72.5224,-84.0,17.0827,30.0,-24.0,-30.0,-343.924,-9.76424,408.943,-146.341,-31.3465,-58.5494,-4.2291,30.0,-24.0,4.23484,-39.5219,-39.5219,-39.5219,-39.5219,-6.17464,2.67587,-8.1376,2.67642,33.689,1.8618,60.9087,-1.88295,-1.58471,-4.47963,11.7275,2.16493
-0.0178687,-0.0270413,0.00655544,0.00170494,-84.6214,100.902,-14.8378,17.6895,-941.069,24.7614,1270.84,-471.003,-46.5737,-84.0,-3.74957,30.0,-24.0,-30.0,-362.749,-12.0658,494.417,-211.999,-29.8444,-57.5531,-2.46529,30.0,-20.3884,3.04546,-84.6214,-84.6214,-84.6214,-84.6214,-2.8769,3.25369,-12.8978,0.482256,49.5259,11.7798,58.3487,10.7431,4.30446,-6.66875,9.63192,2.86638
-0.018889,-0.0278549,0.00678901,0.00165103,-8.54382,23.071,-2.51126,2.93111,-482.467,-8.77118,908.564,-450.884,-39.6436,12.6547,-0.92589,30.0,-23.7877,-11.416,-285.743,-16.1343,263.259,-67.3572,-24.6847,-50.0905,-0.1099,30.0,-24.0,4.54205,-8.54382,-8.54382,-8.54382,-8.54382,-14.1797,-0.273343,0.566714,3.54978,51.5706,22.7456,-1.73547,14.9559,5.11344,-5.43067,0.874742,1.34211
-0.019927,-0.0286152,0.00636653,0.00167563,80.0206,-102.486,16.2166,-18.8761,-463.277,-28.8321,533.65,-161.06,-20.2747,-84.0,-24.8203,30.0,-24.0,-30.0,-368.697,-11.9423,491.821,-198.414,-23.7958,-53.5956,-0.875915,30.0,-19.2715,2.12731,80.0206,80.0206,80.0206,80.0206,-3.49874,2.54509,-13.1274,-0.561366,41.6615,26.396,61.4829,9.2267,0.450556,-7.82512,12.0644,-0.894712
-0.0207127,-0.0293174,0.00653212,0.00181853,0.73249,-17.257,3.19468,-4.47627,-937.939,-42.2249,1250.03,-430.648,-10.7846,-84.0,-28.3552,30.0,-24.0,-30.0,-391.834,-16.3825,520.883,-203.354,-20.0624,-59.3918,-1.88348,30.0,-22.5615,0.360119,0.73249,0.73249,0.73249,0.73249,-18.979,0.445079,-0.918562,3.21913,-63.4953,36.0127,-11.0488,-22.218,-19.6101,-4.2845,-1.46175,-4.03929
-0.0214245,-0.0299305,0.00650652,0.00203137,82.7744,-103.672,18.5204,-20.2046,-96.0136,-32.6506,291.213,-106.247,-25.8127,84.0,-3.1444,-30.0,24.0,-10.0368,-366.814,-15.6031,504.343,-196.484,-21.8245,-57.0255,-1.07265,30.0,-16.1186,0.0345776,82.7744,82.7744,82.7744,82.7744,-2.51548,2.12351,-14.2235,-0.484025,8.17789,30.5942,-71.6062,-1.93491,-6.54805,-3.22384,-13.2204,-0.269611
-0.0221664,-0.0304782,0.00626937,0.00222345,-3.51193,-12.3695,5.46294,-5.56429,-932.881,-23.701,1251.42,-414.767,-26.7578,-84.0,-17.9338,30.0,-24.0,-30.0,-384.135,-16.6572,490.066,-167.083,-17.8068,-61.1433,-2.02655,30.0,-12.4872,-0.0296619,-3.51193,-3.51193,-3.51193,-3.51193,-18.1706,0.0931971,-0.794579,3.28561,-67.3314,30.6453,-10.2022,-22.7059,-19.0541,-3.23357,-1.5484,-3.99029
-0.0228875,-0.0309794,0.00587701,0.00226758,75.3213,-94.9521,20.5765,-20.8504,-465.397,-7.84997,542.687,-128.684,-36.8144,-84.0,-10.5589,30.0,-24.0,-30.0,-358.858,-12.9692,476.904,-171.716,-18.8325,-57.6885,-2.71774,30.0,-13.5949,-0.724768,75.3213,75.3213,75.3213,75.3213,-2.7621,2.15128,-13.0217,-0.31346,6.06843,26.2161,-75.1555,-1.35991,-6.16519,-2.52805,-11.2443,-1.50284
