com_y,sim_com_y,com_x,sim_com_x,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40
-0.0193299,0.00660972,0.00617685,-0.0196824,37.1308,-74.6525,16.3584,-15.6901,90.3407,-0.189704,-92.9887,48.3404,-15.457,20.3356,-7.73755,-4.08568,15.9138,8.75278,356.712,-0.667203,-432.799,180.629,-14.6607,65.0972,-8.18097,-30.0,24.0,8.97204,37.1308,37.1308,37.1308,37.1308,8.80877,2.59671,6.48784,-3.81007,82.7015,42.8667,59.5168,14.9092,0.701803,-19.5162,13.9242,-1.78267
-0.0202744,0.0060097,0.00591426,-0.0198578,8.90139,-23.3209,4.83442,-2.98432,-315.277,-17.5762,419.049,-157.631,-0.268791,-57.4248,-0.997174,30.0,-24.0,2.43328,363.524,-16.692,-411.546,160.516,-1.23791,68.6962,-2.78972,-30.0,24.0,3.26993,8.90139,8.90139,8.90139,8.90139,16.8064,3.58545,-0.116449,-3.54041,93.2373,-33.5166,9.67664,25.9538,19.7975,1.12488,0.263156,4.84455
-0.0211348,0.00527699,0.00549112,-0.0201722,6.52105,-20.3771,4.15288,-1.42109,-312.68,-18.2947,402.364,-137.619,-3.00236,-57.2905,-0.296552,30.0,-24.0,2.93549,364.095,-17.7053,-413.485,165.115,-4.67179,67.7848,-1.72295,-30.0,24.0,3.71821,6.52105,6.52105,6.52105,6.52105,15.4562,3.41352,0.17139,-3.89201,93.1298,-21.0144,4.04533,21.473,14.953,0.110874,0.552592,2.93215
-0.0220274,0.00458702,0.00486269,-0.020484,28.0758,-52.1738,15.282,-12.0983,-300.139,-18.2014,411.368,-156.161,-7.8426,-55.5181,0.734121,30.0,-24.0,3.4642,361.001,-17.3383,-395.721,153.41,-10.1974,67.1669,-0.367862,-30.0,24.0,4.07456,28.0758,28.0758,28.0758,28.0758,13.3701,3.00423,0.852122,-3.08569,44.2392,5.41684,27.6183,-9.14194,-7.89303,-2.27064,10.1213,-3.92365
-0.0228937,0.00395634,0.00436592,-0.0208099,34.3477,-42.1092,1.2566,-2.80431,-321.995,-17.2821,399.177,-121.552,-13.1091,-51.0115,0.686964,30.0,-24.0,3.72802,345.886,-16.4402,-379.297,154.401,-15.2875,69.8252,-0.472798,-30.0,24.0,3.97062,34.3477,34.3477,34.3477,34.3477,12.3445,3.4603,1.52273,-3.86085,-67.6193,30.1518,-24.3802,-11.2917,-14.2986,-2.67573,-3.65419,-8.30968
-0.0236878,0.00335537,0.00364591,-0.0211511,49.5055,-53.9634,-0.238674,-2.64027,-245.194,-15.4502,380.468,-159.073,-16.9671,-24.1658,2.40009,21.7765,-24.0,3.514,331.419,-17.6245,-361.422,148.219,-16.9093,70.6528,0.655604,-30.0,24.0,3.60226,49.5055,49.5055,49.5055,49.5055,5.68958,1.87799,6.42305,-0.913867,-13.4044,46.5645,-61.5506,1.95474,-10.0515,-4.99472,-5.20482,-8.76027
-0.0244206,0.0028605,0.00289483,-0.0214766,58.7282,-61.4635,-1.77807,-2.30593,211.535,-12.404,-255.339,120.297,-19.4884,49.403,3.77567,-30.0,24.0,3.87182,313.584,-14.3876,-332.021,131.687,-19.2276,71.009,1.13606,-30.0,24.0,3.45778,58.7282,58.7282,58.7282,58.7282,2.58957,1.38269,8.01925,-1.09714,-2.73082,57.0923,-69.3237,8.6763,-7.6775,-6.75715,-6.41567,-8.93467
-0.0250561,0.00245488,0.00211216,-0.0217173,-32.6053,44.066,-1.13643,2.26617,-323.327,-13.2692,459.411,-180.213,-17.8281,-48.366,3.63173,29.1245,-20.7658,4.69334,300.749,-10.7829,-364.686,159.354,-22.0398,60.5211,1.12186,-30.0,24.0,3.08164,-32.6053,-32.6053,-32.6053,-32.6053,9.05915,2.20495,2.6883,-2.92415,-49.3874,62.2065,-22.7335,-9.87799,-18.9152,-8.19963,1.53027,-10.1263
-0.0256506,0.00203685,0.00164863,-0.0218683,-84.4096,103.149,-16.8921,15.4491,215.335,-10.8632,-260.247,125.161,-18.3342,48.1386,4.03218,-30.0,24.0,4.70597,284.122,-10.8695,-353.321,154.546,-19.4643,58.0358,0.598028,-30.0,24.0,2.99811,-84.4096,-84.4096,-84.4096,-84.4096,-2.39509,0.995328,10.8703,-1.24422,-2.72611,61.8693,-73.5517,4.35738,-7.56341,-3.55291,-8.74675,-9.73156
-0.0261924,0.00168378,0.00131188,-0.0218642,-37.3979,49.4571,-2.861,1.8011,-249.012,-13.5542,302.891,-86.9768,-16.1789,-50.9216,4.06504,15.8604,-13.8004,5.54321,333.994,-9.06312,-331.842,107.753,-19.6583,71.9093,0.412817,-30.0,24.0,1.88417,-37.3979,-37.3979,-37.3979,-37.3979,10.0415,3.49361,1.51404,-4.05643,-51.5188,39.9464,-24.1869,-13.1224,-18.9531,-5.78398,0.589639,-10.7364
