com_y,sim_com_y,com_x,sim_com_x,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40
-0.00989393,0.0145148,-0.00975593,-0.0300939,-91.5329,107.556,-15.6613,19.5929,-296.415,-32.906,378.491,-150.892,-4.53092,-52.9424,1.31867,30.0,-16.2977,9.18635,-334.946,-29.1076,411.541,-159.461,-4.90146,-61.6226,4.75149,30.0,-23.7148,10.5385,-91.5329,-91.5329,-91.5329,-91.5329,-1.64743,2.09209,13.3503,0.239399,14.7452,-34.5769,70.614,-7.86027,2.71942,4.20075,13.1311,1.94092
-0.0120704,0.0130416,-0.00974613,-0.0300102,-90.3011,109.238,-15.3022,19.5145,-301.12,-29.5861,404.137,-173.054,-2.55726,-53.1497,1.40066,30.0,-23.1849,9.10013,-337.571,-25.1977,412.079,-157.727,-3.32983,-62.0848,5.09703,30.0,-24.0,10.4061,-90.3011,-90.3011,-90.3011,-90.3011,-1.19079,1.63127,13.4444,0.29874,12.0775,-33.2629,71.9964,-6.66322,3.2427,3.98249,13.2129,1.72211
-0.0142582,0.0116906,-0.00978429,-0.0299614,-87.059,110.827,-16.8982,20.907,-297.346,-25.4112,379.215,-149.773,-1.00893,-53.1548,1.32616,30.0,-21.2269,7.87522,-340.481,-20.4377,413.711,-158.149,-1.92944,-62.2869,4.9248,30.0,-24.0,8.92647,-87.059,-87.059,-87.059,-87.059,-1.07884,1.27031,13.2395,0.180099,12.0481,-30.673,72.2873,-6.311,3.12452,3.59091,12.9656,1.61997
-0.0156434,0.0105464,-0.00988794,-0.0299833,7.3912,-19.0251,0.651818,-2.18674,-301.877,-25.993,362.745,-134.916,2.38619,-55.443,-1.82419,30.0,-24.0,3.90158,-341.705,-16.1538,408.017,-152.724,-4.43658,-62.347,-1.59345,30.0,-24.0,7.33993,7.3912,7.3912,7.3912,7.3912,-1.10391,1.79152,13.8322,0.711109,4.7041,-27.6377,76.4251,-5.87616,1.78932,2.03267,13.9807,0.0527957
-0.0169364,0.00957887,-0.00999033,-0.0300423,5.97922,-16.9589,-0.314385,-1.38662,-316.206,-23.896,393.118,-145.93,-9.61959,-58.0451,0.490513,30.0,-21.497,4.53602,356.744,-18.2783,-411.23,155.118,-10.0219,66.7197,2.91731,-30.0,24.0,4.54725,5.97922,5.97922,5.97922,5.97922,-16.8083,0.918563,0.862454,4.55474,-84.0232,-0.987839,-6.59304,-27.6468,-16.2396,2.99816,0.82693,-2.94444
-0.0181266,0.00868762,-0.0100696,-0.0301023,90.4533,-113.88,15.4344,-17.8859,-299.515,-21.5526,344.501,-118.309,-12.2247,-58.519,2.37045,30.0,-24.0,6.75264,351.685,-17.3886,-408.688,151.135,-10.7003,65.7999,3.85325,-30.0,22.7576,6.96544,90.4533,90.4533,90.4533,90.4533,-14.6466,0.173242,0.605402,4.25345,-79.8293,12.4548,0.0212307,-16.7923,-11.9966,-0.675329,1.02538,-1.92931
-0.0193464,0.00779543,-0.0102919,-0.0301779,-4.3741,-7.29362,-0.696528,-0.36855,284.433,-17.1414,-349.939,143.91,-12.9494,54.6078,5.15494,-30.0,24.0,7.72298,337.076,-14.8526,-395.287,160.346,-11.0062,65.4554,4.89319,-30.0,24.0,8.95776,-4.3741,-4.3741,-4.3741,-4.3741,-1.04722,1.86567,-13.1921,0.141095,-1.49332,33.5838,-75.1821,3.02809,-5.44634,-3.42777,-12.1544,-1.38463
-0.0203795,0.00698671,-0.010015,-0.0302659,80.9862,-96.6973,10.3431,-13.2677,-334.28,-15.3144,422.229,-151.108,-11.7936,-53.1888,4.45724,30.0,-24.0,7.07286,343.672,-10.966,-403.603,153.173,-10.7918,63.8303,3.70911,-30.0,22.0571,9.10599,80.9862,80.9862,80.9862,80.9862,-13.9333,-0.416972,1.56596,3.11302,-59.6392,33.7712,2.06949,-1.1559,-7.22066,-5.3756,2.53871,-3.55782
-0.0212014,0.00628002,-0.0103488,-0.0303316,25.3379,-33.712,1.39806,-3.01204,247.785,-13.2009,-333.022,153.815,-13.4991,50.1961,5.27552,-30.0,18.3925,6.09445,336.568,-11.0374,-391.828,149.602,-10.2564,63.3077,2.46669,-30.0,24.0,8.90986,25.3379,25.3379,25.3379,25.3379,-0.717823,1.3255,-11.1312,0.80563,-13.0039,37.1662,-52.6212,8.41035,-2.27313,-5.97174,-8.1359,0.119421
-0.0219309,0.00569729,-0.0102607,-0.0303024,-75.1317,93.2031,-14.2676,17.0299,-326.595,-14.908,413.77,-145.006,-13.696,-44.8863,4.56722,30.0,-24.0,6.067,347.283,-11.2634,-391.324,139.916,-10.9599,66.3862,1.71006,-30.0,24.0,7.51371,-75.1317,-75.1317,-75.1317,-75.1317,-10.8538,0.195427,-2.8007,3.10609,-57.5448,36.5059,-4.23564,-8.76255,-12.4746,-5.79469,3.8687,-3.64011
