com_y,sim_com_y,com_x,sim_com_x,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40
-0.0124579,0.0160721,-0.00945159,-0.0369899,-96.8301,99.7327,-4.31912,7.93688,259.944,-10.0661,-286.493,77.5274,-25.1551,50.4712,-11.0811,-30.0,24.0,8.02441,366.687,17.7891,-429.126,146.337,-54.2272,68.6167,-13.4399,-30.0,24.0,11.4477,-96.8301,-96.8301,-96.8301,-96.8301,14.5431,5.02253,1.72742,-2.9395,-89.2476,-19.6896,-17.5076,-29.903,-14.6526,6.47808,-2.19142,-2.43161
-0.0142992,0.0147193,-0.00903725,-0.0366674,-60.5612,64.353,-1.00907,3.511,155.705,-17.4386,-261.141,108.038,-14.2768,11.025,-5.58538,-25.3858,11.7884,9.24269,345.998,-17.628,-419.323,150.016,-14.1885,63.3118,-4.45753,-30.0,24.0,10.5043,-60.5612,-60.5612,-60.5612,-60.5612,12.1266,2.95379,3.61683,-1.6147,-76.0244,-13.6481,-25.0012,-19.9016,-9.39105,5.30773,-5.95611,-1.00535
-0.0157876,0.0134833,-0.00867006,-0.0363556,-10.8063,24.1068,-1.52116,3.86458,313.311,15.7688,-434.318,179.623,-35.3887,57.5242,-7.94445,-30.0,24.0,9.58021,355.986,-4.63742,-424.194,147.975,-14.0347,66.1525,-4.84895,-30.0,24.0,9.94575,-10.8063,-10.8063,-10.8063,-10.8063,15.9424,3.47046,-0.00829234,-3.61515,-93.6545,-4.77176,-8.94545,-26.9387,-15.4201,3.62161,-1.483,-3.71295
-0.0167543,0.0125197,-0.00835905,-0.03608,15.2199,-4.66944,-0.363998,2.39205,283.97,-13.075,-336.517,114.029,-12.1391,57.6655,-3.27852,-30.0,24.0,3.10652,-295.54,-3.80707,376.209,-160.517,-21.5094,-51.13,-3.1592,30.0,-22.6951,4.59368,15.2199,15.2199,15.2199,15.2199,0.573394,3.32606,-12.5116,0.0551934,10.101,-6.1835,69.7497,-5.96347,-0.951155,-0.396147,12.764,-0.388704
-0.0174802,0.0118137,-0.00822508,-0.0358847,90.7379,-112.004,16.2504,-20.0688,331.909,-10.0471,-530.268,250.482,-23.4747,43.8167,-3.89873,-30.0,24.0,0.602926,-368.692,-10.8682,447.666,-171.626,-21.9949,-60.4964,-2.60603,30.0,-24.0,0.693097,90.7379,90.7379,90.7379,90.7379,-0.671892,3.23274,-13.7748,0.975878,17.8597,3.41378,77.6555,1.33214,1.93435,-3.06345,11.9617,0.684046
-0.0182329,0.0112042,-0.00810529,-0.0357204,92.9926,-115.041,15.7127,-19.2256,187.737,-13.6905,-278.399,131.445,-25.7343,23.5529,-1.67515,-22.0833,24.0,-0.207696,-363.448,-15.8157,464.738,-175.817,-22.9547,-56.9365,-0.681265,30.0,-13.8448,-0.217489,92.9926,92.9926,92.9926,92.9926,-5.24336,2.30882,-10.7219,1.0806,40.9657,16.2406,60.6551,6.67299,2.59145,-5.56319,9.62576,1.7417
-0.0189999,0.0105529,-0.00778186,-0.0355463,1.9969,29.1436,17.9682,-21.8176,-350.757,-16.0424,428.845,-124.606,-23.3755,-47.8939,1.24176,30.0,1.29941,3.65848,-284.479,-14.8131,277.944,-74.1314,-23.229,-62.0674,1.69745,30.0,-24.0,3.23561,1.9969,1.9969,1.9969,1.9969,-16.3268,-0.809614,0.607091,3.4089,93.3909,23.9677,0.0516954,27.5434,12.4544,-6.67679,2.65808,2.92466
-0.0198674,0.00986865,-0.00803547,-0.0354479,5.82593,-19.371,1.37015,-2.56048,166.279,-12.1256,-49.7072,-20.4951,-22.4586,61.4703,2.14446,-30.0,24.0,2.03007,-327.012,-10.2637,454.074,-174.188,-22.2404,-43.2969,1.38287,30.0,-11.9766,1.44635,5.82593,5.82593,5.82593,5.82593,-2.59878,2.25273,-11.8949,-0.895113,27.0064,28.8971,63.7948,1.62701,-3.56107,-7.25085,12.6894,-1.20905
-0.0204728,0.00920645,-0.00794981,-0.0354046,89.8547,-110.527,16.5014,-18.2568,-328.673,-16.8445,452.47,-147.933,-17.8429,-44.8089,1.45326,26.5229,-4.15641,0.526887,316.786,-11.7334,-309.818,110.013,-17.224,69.2573,-0.144048,-30.0,24.0,1.74866,89.8547,89.8547,89.8547,89.8547,-17.6431,0.597087,-0.72879,3.37072,100.67,27.3601,10.5587,26.6046,10.9199,-7.75846,1.97881,2.53256
-0.0210917,0.00863189,-0.00814531,-0.0354071,-16.3702,33.2665,-4.84353,8.55154,95.3147,-12.7463,-97.204,77.0647,-23.6214,34.8226,2.3763,-30.0,24.0,1.07592,270.185,-12.1094,-344.82,164.088,-18.3268,53.9392,-1.22615,-30.0,24.0,1.60982,-16.3702,-16.3702,-16.3702,-16.3702,-1.81947,2.07533,-10.3467,0.708972,20.3549,23.067,58.0709,9.35315,1.5895,-6.62609,10.7364,-0.214467
