com_y,sim_com_y,com_x,sim_com_x,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40
-0.0113127,0.0166226,0.00918384,-0.0231478,-2.84607,8.99863,8.10813,-5.03849,-280.004,-31.9358,353.823,-135.406,-4.60704,-50.8816,3.48674,30.0,-16.5948,9.13877,-303.32,-30.8543,368.998,-131.443,-6.11715,-53.8456,3.64542,30.0,-17.5457,9.81039,-2.84607,-2.84607,-2.84607,-2.84607,12.8737,-0.404057,-0.0238736,-6.19015,-76.5491,-7.21244,-7.95714,-27.0563,-14.4607,4.18995,-0.0255329,-1.94847
-0.0135375,0.0151639,0.00880958,-0.0231476,-14.9662,23.1955,5.78888,-0.573118,-306.532,-28.6702,395.916,-152.279,-3.69545,-58.1855,4.28483,30.0,-23.319,9.46455,-348.909,-27.9589,426.03,-152.136,-4.76349,-64.3894,4.24274,30.0,-24.0,10.6363,-14.9662,-14.9662,-14.9662,-14.9662,14.7502,2.22824,0.24017,-6.04057,126.565,35.8145,6.19164,40.6983,15.0394,-23.7364,2.21295,2.10607
-0.0155995,0.0136775,0.00824981,-0.0233993,2.36338,5.3016,7.5082,-2.29996,-306.079,-22.2728,399.824,-151.101,-1.76494,-57.4797,4.34291,30.0,-23.7996,8.83964,-358.377,-22.3984,432.089,-148.516,-1.86187,-65.7979,4.54158,30.0,-24.0,9.86864,2.36338,2.36338,2.36338,2.36338,15.6875,-0.17358,0.209932,-4.92583,117.835,59.7654,2.11662,28.2643,15.9092,-8.391,1.79882,3.59073
-0.0172336,0.0123112,0.00757275,-0.0238047,-52.3494,36.407,-3.74316,6.64135,-317.418,-17.0026,413.138,-154.251,-2.19804,-57.8789,3.0687,30.0,-24.0,6.59945,-360.513,-17.4339,438.75,-153.11,-2.22713,-65.8935,3.91307,30.0,-24.0,6.98134,-52.3494,-52.3494,-52.3494,-52.3494,18.285,-7.11285,-0.00666555,-3.06581,22.2669,66.6171,30.5003,4.66309,18.315,17.1228,1.16053,5.49268
-0.0184312,0.0111551,0.00715332,-0.0241916,132.609,-140.037,3.5658,-4.31861,311.725,-14.7596,-379.709,157.296,-6.81309,57.262,2.75362,-30.0,22.291,5.06536,358.909,-15.3783,-399.465,156.468,-6.36806,67.5376,3.27658,-30.0,24.0,6.08981,132.609,132.609,132.609,132.609,-15.7111,-0.659321,-0.193879,4.49631,-107.541,13.0354,-17.9577,-22.594,-15.9333,1.13785,-1.55966,-4.14224
-0.0195232,0.0101327,0.00682256,-0.0245734,62.6934,-35.4293,-0.0133203,0.574763,323.21,-16.2495,-370.233,143.425,-9.05239,56.3699,3.23046,-30.0,24.0,5.24886,358.754,-15.1665,-388.82,151.935,-9.72147,68.3733,3.79515,-30.0,24.0,6.54643,62.6934,62.6934,62.6934,62.6934,-16.6138,-1.02638,-0.519925,4.11905,-88.4274,19.8033,-8.86644,-22.3887,-16.8551,-0.534304,-1.56447,-4.28741
-0.0205257,0.00931486,0.00662099,-0.0248435,48.3795,-14.2054,-1.49822,0.627534,315.247,-14.5733,-366.755,142.377,-11.776,56.9719,4.18137,-30.0,24.0,5.83425,335.389,-14.1642,-366.062,137.001,-9.75444,64.5167,3.64993,-30.0,24.0,7.3274,48.3795,48.3795,48.3795,48.3795,-15.9267,-1.32642,0.310612,3.82473,-84.6746,26.7376,-3.74237,-19.0423,-16.0281,-2.11332,-1.05072,-4.49448
-0.0214038,0.00860635,0.00646165,-0.0250146,-89.3723,124.658,-4.31273,1.50692,288.147,-11.5434,-342.857,127.613,-12.6481,54.6764,5.60709,-30.0,24.0,7.00107,305.613,-9.40367,-358.383,134.11,-9.93319,57.0822,2.91753,-30.0,24.0,7.69999,-89.3723,-89.3723,-89.3723,-89.3723,-14.6822,-1.63294,0.72039,3.26618,-78.5248,31.3012,-2.27991,-15.5078,-14.7587,-3.39279,-0.477593,-4.47494
-0.0220678,0.00780017,0.00687399,-0.0250127,15.0597,17.9872,4.75148,-10.7082,-248.13,-9.56011,313.502,-131.962,-11.4133,-44.4747,5.17611,18.6531,-16.1749,6.75265,242.409,-6.71469,-310.367,114.269,-7.58708,44.2734,-0.22827,-30.0,24.0,6.10881,15.0597,15.0597,15.0597,15.0597,1.03825,0.513176,-10.4209,-0.305587,-6.35941,29.2748,-55.0117,7.88527,-0.833762,-3.82889,-10.3038,-0.696217
-0.0224179,0.00722361,0.00765139,-0.0247743,24.0551,21.2976,-10.3367,4.3146,262.251,-7.26138,-368.419,154.331,-12.1247,51.9983,6.20742,-30.0,24.0,6.74263,344.562,-4.64514,-402.632,134.452,-11.4507,66.6871,-1.40976,-30.0,24.0,4.25792,24.0551,24.0551,24.0551,24.0551,-15.0359,-1.49333,-0.871606,3.32581,-80.9881,31.1969,-6.60936,-16.939,-15.3991,-3.24344,-1.63752,-4.59103
