com_y,sim_com_y,com_x,sim_com_x,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40
-0.0149383,-0.0561141,0.00221435,0.0233539,-89.8664,103.995,-13.625,19.6193,371.853,81.821,-555.196,263.149,-90.6961,60.8056,-17.673,-30.0,24.0,2.52732,336.719,-22.5431,-405.397,153.847,-0.231587,62.4483,2.5312,-30.0,24.0,6.95279,-89.8664,-89.8664,-89.8664,-89.8664,0.00058082,4.2496,-11.1918,0.864498,-11.878,-18.197,82.2058,1.79187,-5.33023,-10.9269,13.4508,-2.52441
-0.0162478,-0.0571471,0.00203273,0.023518,-92.5952,110.784,-13.1667,20.0394,357.943,91.7928,-565.278,289.929,-89.3188,57.5392,-26.0758,-30.0,24.0,4.80275,338.485,-20.9837,-399.425,153.66,-1.09516,62.5045,2.06118,-30.0,24.0,5.85192,-92.5952,-92.5952,-92.5952,-92.5952,-0.592369,4.29777,-11.7968,1.35044,11.2517,34.1254,106.393,-9.64248,-2.95093,-1.23794,15.8375,-3.15486
-0.0175467,-0.0581227,0.00160568,0.0235574,-87.2737,107.33,-14.7415,23.0165,-314.007,26.496,310.699,-65.7729,-53.2233,-61.5059,-16.6731,30.0,-24.0,2.88289,341.034,-23.8442,-407.426,164.504,1.05427,63.5097,0.852154,-30.0,24.0,5.16947,-87.2737,-87.2737,-87.2737,-87.2737,0.842994,4.65406,-12.8934,0.972418,0.842498,-19.0699,100.033,6.64099,-1.87249,-11.7658,14.8107,-1.37095
-0.018864,-0.059126,0.00131303,0.0234753,-7.61879,19.3403,0.15456,5.98487,346.985,14.0796,-460.08,203.079,-50.4466,53.1195,-12.1392,-30.0,24.0,0.441068,343.365,-21.8671,-398.885,158.718,-5.01237,64.2209,1.53557,-30.0,24.0,4.92059,-7.61879,-7.61879,-7.61879,-7.61879,-16.5624,1.7269,-0.886345,4.7697,120.262,-2.32033,8.34314,38.3216,13.9022,-12.7806,7.16403,3.05008
-0.0201761,-0.060135,0.000654954,0.0232982,-84.3565,108.13,-13.5814,21.43,-298.126,-1.96789,458.898,-179.886,-41.115,-24.131,-6.46655,30.0,-6.56062,0.587418,361.471,-18.5626,-400.922,152.217,-9.47709,68.5278,3.65981,-30.0,24.0,6.99139,-84.3565,-84.3565,-84.3565,-84.3565,-1.91455,3.15874,-12.8587,0.785328,-32.3426,25.6774,-52.7811,-11.3833,-14.6087,-1.69022,-4.15921,-8.41107
-0.0213339,-0.0610982,0.000247984,0.0230487,-81.698,106.948,-15.0962,21.9871,-218.537,-13.6615,341.848,-139.913,-30.0246,-25.6743,-1.50204,30.0,-21.088,1.06285,341.412,-17.1808,-384.97,154.654,-8.16464,65.2412,4.8966,-30.0,24.0,9.70372,-81.698,-81.698,-81.698,-81.698,-2.15371,2.45176,-12.9629,0.58566,44.3797,19.8555,58.9422,14.041,5.04404,-7.57806,9.02029,2.29175
-0.0222268,-0.0620504,-0.000167548,0.0227709,-7.33816,23.0982,-3.00101,7.76161,168.737,-18.312,-214.518,102.299,-22.2046,23.204,1.79113,-30.0,13.9263,0.0524524,339.999,-12.0561,-367.63,140.062,-7.63855,66.0405,4.85332,-30.0,24.0,10.6735,-7.33816,-7.33816,-7.33816,-7.33816,-17.4838,0.178829,-1.12083,3.09694,84.7715,32.9748,27.7838,23.0028,7.21154,-9.55064,7.01769,1.92032
-0.0228671,-0.0627816,-0.00059217,0.0225995,-56.2324,79.9558,-8.16014,10.622,-98.0015,-21.268,222.855,-89.6856,-15.2403,-0.222425,4.83896,-11.0898,-3.20914,-5.30356,357.19,-7.07438,-390.757,154.551,-8.06717,69.102,3.72517,-30.0,24.0,9.83554,-56.2324,-56.2324,-56.2324,-56.2324,-3.69763,1.51398,-4.94586,0.49512,53.9366,57.0749,22.6103,-12.4012,-17.667,-6.99879,-0.486897,-10.5452
-0.0232942,-0.0633477,-0.0010434,0.0224228,-11.2883,27.1999,-0.728376,2.33161,113.22,-17.8527,-90.3069,33.7782,-21.7273,24.4799,2.74835,-30.0,15.2304,-3.13551,336.088,-7.58217,-384.063,146.834,-8.59978,62.5462,0.339225,-30.0,24.0,7.35165,-11.2883,-11.2883,-11.2883,-11.2883,-15.6433,0.261565,0.624234,2.80738,89.487,35.7265,28.7241,26.247,8.61131,-10.1357,5.13249,1.9369
-0.0238039,-0.0637659,-0.000911516,0.0223553,-73.9042,94.8989,-12.4271,13.0638,-291.859,-15.9695,542.989,-264.541,-23.0086,-26.757,2.43858,-0.516996,-6.60869,0.356372,345.972,-9.28187,-384.904,146.37,-9.1246,69.3691,1.09973,-30.0,24.0,6.58938,-73.9042,-73.9042,-73.9042,-73.9042,-0.821391,-0.296735,10.0458,-0.30521,47.4409,33.1775,60.2453,13.08,0.980044,-9.01798,12.67,-1.33776
-0.0243343,-0.0641119,-0.000788037,0.0224691,-14.9569,30.3136,-2.26942,1.86995,78.4287,-12.7434,-56.9126,10.5272,-23.3251,13.0811,1.67001,-30.0,3.56143,2.68718,-586.551,-63.764,590.755,-176.989,10.7545,-84.0,-42.5449,30.0,-24.0,-20.469,-14.9569,-14.9569,-14.9569,-14.9569,11.5858,1.50888,0.685307,-3.30652,80.3421,23.9512,37.1726,24.125,9.58237,-8.32726,5.16043,2.72978
-0.0249685,-0.0644287,-0.00029824,0.0227723,-81.3652,99.7568,-14.5516,15.0266,-307.846,-3.68655,558.794,-273.608,-28.5223,-27.2632,-1.06074,6.78076,-8.57683,2.9844,-545.475,-25.2681,556.225,-173.325,-15.9523,-84.0,-29.941,30.0,-24.0,-30.0,-81.3652,-81.3652,-81.3652,-81.3652,-0.284114,0.0119741,10.5224,-0.623474,46.2899,18.1263,62.4201,10.4382,2.01909,-6.76658,12.6143,-0.113494
-0.0256248,-0.0647757,0.00050277,0.023266,-20.214,30.9187,-3.75964,4.51037,130.053,1.16314,-134.651,46.9104,-32.5844,22.9375,-3.37033,-30.0,13.4632,2.31904,-582.979,-2.48024,568.848,-176.34,-27.0553,-84.0,-20.2525,30.0,-24.0,-30.0,-20.214,-20.214,-20.214,-20.214,12.4341,2.34242,1.00857,-4.27461,82.5396,8.7167,31.3722,20.0802,9.69415,-5.71439,5.24143,3.39174
-0.0262855,-0.0651851,0.00132597,0.0239354,-24.1661,38.5331,-6.35225,6.78608,-5.27768,14.2148,128.064,-92.3694,-40.7137,5.23183,-3.6102,-19.4584,-10.6048,0.852202,-346.61,-9.51149,402.428,-148.758,-8.29918,-62.7511,3.10571,30.0,-21.7827,4.86226,-24.1661,-24.1661,-24.1661,-24.1661,9.49147,1.43999,2.54234,-1.57161,11.5715,27.0047,-10.5787,-20.9033,-18.0904,-2.10171,0.237773,-7.28474
-0.0269317,-0.0656429,0.00209847,0.0246779,-18.2818,27.8815,1.20113,-0.315609,88.4294,16.7012,-126.103,74.1981,-40.3975,7.98513,-4.6663,-30.0,7.14425,0.832617,-341.871,-9.12981,418.551,-169.643,-7.50349,-62.6369,3.02438,30.0,-21.1252,5.21318,-18.2818,-18.2818,-18.2818,-18.2818,11.4406,2.00124,-0.301811,-3.00104,5.22274,22.8984,-18.4035,-23.0858,-18.6267,-1.48144,0.181456,-6.36764
-0.0275923,-0.0661197,0.00277094,0.0254396,78.7395,-98.8108,16.6684,-19.9818,-291.038,1.32035,401.597,-133.67,-25.1122,-27.4068,-4.72246,18.0141,11.0681,3.15482,-535.832,22.0914,560.23,-193.837,-41.0331,-84.0,-8.26222,30.0,-24.0,-28.7999,78.7395,78.7395,78.7395,78.7395,-1.0786,-0.116874,12.0689,-0.681551,38.0448,-1.61859,65.2762,7.44086,4.13162,-3.45897,11.441,2.02168
-0.0280471,-0.066598,0.00356112,0.0261566,-93.9208,106.578,-12.473,15.1372,23.6052,12.2365,122.717,-82.2718,-27.584,32.6081,-4.06146,-30.0,24.0,4.09555,-416.253,0.408321,779.418,-414.721,-16.5644,8.15403,-9.8759,30.0,-24.0,-12.8905,-93.9208,-93.9208,-93.9208,-93.9208,-0.154619,1.10248,-11.1186,0.683868,-6.06426,17.6631,-54.0904,-17.4933,-13.9669,-0.145446,-5.73898,-3.86139
-0.0283449,-0.0670339,0.00368682,0.0268173,55.5891,-71.0393,11.071,-11.7043,-260.8,22.9913,694.99,-368.433,-29.9816,38.5839,-3.06584,30.0,-18.662,2.43578,-327.113,-0.57903,411.429,-160.979,-3.28325,-59.2885,1.59846,30.0,-15.7756,4.95412,55.5891,55.5891,55.5891,55.5891,-2.3118,0.0069032,6.40387,-0.101419,78.2706,2.26701,-10.0695,17.4741,9.83195,-1.64224,-11.8316,1.6662
