com_y,sim_com_y,com_x,sim_com_x,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40
-0.0128055,-0.0215397,0.00542734,0.000728028,-71.7105,97.3544,-14.0829,12.7323,294.191,-18.2852,-384.911,139.203,-17.2706,55.4481,-5.06171,-30.0,21.9164,9.36441,-337.724,-18.4334,395.584,-160.544,-17.9674,-60.7595,-4.67137,30.0,-24.0,10.7423,-71.7105,-71.7105,-71.7105,-71.7105,2.39463,-0.656001,9.73491,0.80177,-19.0788,-26.4734,-72.7521,-2.97201,0.925092,6.36455,-12.7583,0.214933
-0.0146834,-0.0230323,0.00571533,0.000920705,-96.5178,120.077,-17.0582,17.4163,303.081,-19.2526,-406.319,154.486,-10.4357,55.5359,-3.18152,-30.0,15.9626,8.08065,-340.231,-18.7118,394.998,-156.77,-11.9672,-61.9961,-2.41643,30.0,-24.0,9.3206,-96.5178,-96.5178,-96.5178,-96.5178,-2.20756,-0.413914,13.5299,0.463233,-13.2215,-23.6735,-77.6284,-3.9374,0.390488,6.18672,-13.6901,1.42539
-0.0162338,-0.0241701,0.00597462,0.001089,-101.96,124.458,-20.1989,22.3355,301.443,-18.7596,-396.781,155.23,-7.76727,56.8051,-2.13369,-30.0,24.0,5.78572,-343.106,-19.0116,414.192,-168.769,-8.4191,-63.1402,-0.826181,30.0,-24.0,6.751,-101.96,-101.96,-101.96,-101.96,-2.36343,0.596524,15.0461,0.551694,-8.83669,-15.0307,-81.8464,-4.32868,-1.18956,5.22064,-13.8888,1.15149
-0.0174437,-0.0253495,0.00630783,0.0013201,-54.5102,51.3635,-13.5154,12.1736,288.959,-11.9174,-359.637,132.86,-16.9524,57.3583,-4.33334,-30.0,24.0,3.81658,-290.777,-11.9117,370.541,-155.853,-17.2782,-50.137,-2.68689,30.0,-21.8874,4.52767,-54.5102,-54.5102,-54.5102,-54.5102,-9.73028,0.637515,8.21453,1.19196,32.7412,-4.5249,-53.1829,10.3529,5.12206,0.0320346,-7.70205,2.46222
-0.0184254,-0.0262207,0.00639919,0.00148938,-103.281,103.737,-1.78965,5.06161,276.36,-18.2469,-385.278,161.429,-17.7008,49.6792,-0.336874,-23.4151,13.2306,2.28608,-351.465,-17.1692,423.721,-163.124,-17.9711,-60.1207,0.750022,30.0,-21.1072,2.94484,-103.281,-103.281,-103.281,-103.281,0.0751598,4.31894,10.8904,-4.5634,-9.56617,16.0102,-67.8086,-5.28922,-6.6132,-0.236294,-11.9053,-0.68564
-0.0194146,-0.0270648,0.00652524,0.00159753,-72.0549,67.7619,-0.0656483,3.99889,300.326,-16.8716,-403.544,171.312,-19.9833,48.0932,2.44643,-30.0,24.0,4.57036,-346.348,-14.6594,425.615,-155.47,-19.6259,-58.5384,2.50315,30.0,-16.3893,4.44372,-72.0549,-72.0549,-72.0549,-72.0549,3.10847,4.45984,6.92546,-4.19093,-4.87887,33.2129,-61.6597,-9.38323,-12.2064,-3.30687,-6.74673,-2.26915
-0.0203136,-0.0278395,0.00640495,0.00169772,-3.40068,-21.3234,6.71868,-3.14782,-306.103,-16.815,383.809,-131.526,-16.2768,-55.9127,4.44473,30.0,-23.3556,6.5627,-356.145,-10.4309,423.146,-142.296,-18.0819,-60.7014,2.29543,30.0,-17.1786,5.27751,-3.40068,-3.40068,-3.40068,-3.40068,3.57129,4.47692,2.71505,-3.83658,-58.4027,41.045,-10.9397,-18.8614,-18.4126,-5.65492,-0.503477,-2.95281
-0.0209892,-0.0287174,0.006144,0.00178175,28.2266,-56.3407,11.0757,-7.04869,250.638,-9.01846,-302.47,151.307,-18.3887,51.0015,5.55863,-30.0,24.0,5.86444,-329.057,-2.7219,411.218,-139.221,-18.668,-56.1062,0.281858,30.0,-16.2905,2.87497,28.2266,28.2266,28.2266,28.2266,-5.00807,2.43914,8.41828,-0.124576,4.29487,46.19,-57.8433,-2.97807,-10.9365,-7.07342,-4.88738,-1.08376
-0.0214067,-0.0294196,0.00560049,0.00171602,-11.1666,-8.37799,6.75189,-2.97338,-316.637,-10.9868,417.294,-123.31,-16.9609,-54.0425,5.60245,30.0,-17.9743,5.61018,-354.7,-4.42444,438.159,-136.651,-18.4784,-60.5091,-2.4994,30.0,-13.5229,0.201567,-11.1666,-11.1666,-11.1666,-11.1666,6.66061,4.10241,1.61747,-3.81465,-59.6742,44.0625,-9.40376,-19.1414,-19.5397,-6.1907,-0.240053,-4.00885
-0.0217322,-0.0300283,0.00518148,0.00148479,26.2234,-60.8603,2.38853,4.16224,244.112,-6.96391,-241.719,113.008,-19.8635,48.4341,5.5399,-30.0,24.0,4.81185,-266.091,-4.38764,339.914,-115.411,-22.7639,-56.5155,-2.84026,30.0,-24.0,-2.34545,26.2234,26.2234,26.2234,26.2234,-18.0439,2.25972,1.08394,9.13987,24.0737,43.0708,-51.3099,0.919882,-7.89843,-8.26005,-3.51753,2.81427
