com_y,sim_com_y,com_x,sim_com_x,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40
-0.0219801,-0.0618582,-0.00115803,0.0215566,-16.0381,41.6674,-9.0435,9.04263,227.512,2.05483,-229.268,61.0525,-27.3503,51.4991,-11.4651,-30.0,15.8324,6.30262,488.07,235.461,-571.189,213.86,-154.597,73.6654,84.0,-30.0,24.0,-30.0,-16.0381,-16.0381,-16.0381,-16.0381,21.5876,0.750209,-0.950956,-7.91007,-82.2451,-10.4336,-12.1527,-23.7763,-12.3437,4.84483,-2.45433,-2.6684
-0.0228585,-0.0629259,-0.00131953,0.0214975,-0.0243698,3.50036,-8.68682,2.4164,-346.424,10.0728,428.127,-183.682,-29.338,-56.2962,-9.22637,30.0,-24.0,9.1593,316.9,-13.1532,-369.519,129.04,-4.49107,56.5563,3.13503,-30.0,14.3931,5.16666,-0.0243698,-0.0243698,-0.0243698,-0.0243698,2.9029,-11.2789,2.22826,-1.90373,96.5096,-17.3195,4.40032,18.3088,14.5546,1.25956,1.22565,4.67449
-0.0237145,-0.0638621,-0.000811831,0.0215919,9.60533,-12.8637,-0.034695,-6.95931,-305.312,2.01505,308.463,-96.9416,-17.7959,-55.5042,-6.21066,30.0,-24.0,7.4105,-365.738,-10.5222,436.983,-176.369,-1.0054,-66.4864,3.62806,30.0,-22.4671,5.71235,9.60533,9.60533,9.60533,9.60533,-15.5041,-8.60563,-1.65713,4.35612,87.5298,-11.8162,9.9598,23.6258,16.757,-0.0365278,1.38239,4.1936
-0.0243466,-0.0646004,-0.000832413,0.0217584,43.2486,-67.4285,11.6207,-19.0514,286.284,-4.99905,-462.467,207.843,-18.6876,37.8325,-6.67258,-30.0,24.0,1.06639,-369.215,-7.30605,416.0,-163.423,-1.47724,-66.8108,2.95996,30.0,-24.0,4.91941,43.2486,43.2486,43.2486,43.2486,0.977302,-5.02297,-6.26198,2.3872,88.1692,-7.08702,11.3333,20.4545,14.1902,-0.699817,2.27513,3.7588
-0.0251265,-0.0652039,-0.000389664,0.0218552,-80.6395,87.7383,-6.32225,7.13083,335.817,-8.8911,-457.643,172.999,-29.6219,44.5714,-6.25619,-30.0,24.0,-1.83573,-368.675,-12.7046,410.296,-154.149,-6.8243,-66.2964,1.60168,30.0,-23.7731,2.93716,-80.6395,-80.6395,-80.6395,-80.6395,14.9625,0.935747,-8.61366,-0.0572546,-7.03144,18.1989,-76.7834,1.63483,-3.04788,-0.450527,-12.6871,0.116173
-0.0261715,-0.065904,-0.000218358,0.0219566,-76.4025,82.0076,-4.88883,4.35977,256.29,-13.4215,-342.12,133.411,-34.4047,30.1375,-3.24281,-30.0,24.0,-0.847299,351.485,-18.4277,-424.292,158.91,-10.8246,66.8765,2.87346,-30.0,24.0,5.74399,-76.4025,-76.4025,-76.4025,-76.4025,-15.6784,9.31341,2.80441,-2.00766,-2.44059,31.2223,-72.2264,0.0298087,-6.06886,-2.68924,-11.9996,-0.840512
-0.0272591,-0.0665645,0.000180897,0.0220888,-57.092,55.8207,-2.67901,3.49694,-288.072,-19.0831,396.467,-150.047,-28.3576,-45.4145,0.220954,30.0,0.0526879,1.67027,347.999,-18.384,-409.389,159.398,-13.4401,67.0762,5.58519,-30.0,24.0,10.4408,-57.092,-57.092,-57.092,-57.092,-18.1073,2.57783,3.47982,7.38186,-76.6003,40.2348,-10.5525,-18.9829,-18.2455,-4.60393,-1.51235,-4.4914
-0.0273381,-0.0672823,0.000415401,0.0223457,63.2265,-103.755,13.9694,-16.1637,165.757,-14.5516,-44.723,-33.0972,-24.0762,61.596,2.7478,-30.0,24.0,1.37548,363.388,-11.9949,-410.082,156.132,-13.4001,70.1382,7.81473,-30.0,24.0,14.1511,63.2265,63.2265,63.2265,63.2265,-3.30837,3.10556,-6.44359,7.88007,15.2151,22.6395,76.901,5.1119,0.095716,-6.5316,13.2536,-0.912404
-0.0287808,-0.0680781,0.000158717,0.0226869,82.2049,-119.161,17.1028,-19.8057,-958.479,-40.088,1252.69,-424.912,5.26336,-84.0,-35.4836,30.0,-24.0,-30.0,342.936,-9.11466,-387.904,153.733,-7.26418,66.1693,6.21464,-30.0,24.0,14.3411,82.2049,82.2049,82.2049,82.2049,0.32139,-0.495036,-13.6538,-0.629747,42.8595,32.1857,-29.6839,21.4636,6.32018,-7.89527,-0.572857,2.57612
-0.0287943,-0.0682937,-0.000111485,0.0227523,-42.1123,42.7543,-1.53257,4.04822,-503.819,-39.5956,537.166,-134.928,-6.03075,-84.0,-30.6182,30.0,-24.0,-30.0,92.0757,-4.04385,-159.98,71.6655,-13.9829,-1.59139,0.454051,-4.75019,-23.2516,1.01002,-42.1123,-42.1123,-42.1123,-42.1123,-8.27522,-0.424224,6.56535,2.00754,37.9169,20.9274,70.8142,0.788426,-2.79157,-6.69907,13.8875,0.105108
