com_y,sim_com_y,com_x,sim_com_x,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40
-0.0144705,-0.042458,-0.000844924,0.0180948,88.6772,-108.754,13.4483,-18.7963,-260.252,41.5405,268.028,-93.0423,-67.5657,-52.2769,-17.0182,30.0,-24.0,6.48816,159.819,143.606,-247.873,68.863,-137.309,0.0541435,-19.6237,-30.0,-11.9552,-9.18617,88.6772,88.6772,88.6772,88.6772,3.57372,4.53147,-11.1061,1.18386,-12.8809,-28.6169,-65.9796,-2.47669,1.82738,6.58873,-11.3511,1.14857
-0.0166494,-0.0437701,-0.000381934,0.0183702,36.0961,-50.5779,6.52982,-10.8984,32.8336,57.1422,42.9539,-71.558,-69.3828,35.6925,-14.128,2.47175,-24.0,8.58345,498.726,208.365,-547.251,165.075,-144.301,84.0,74.2797,-30.0,24.0,-30.0,36.0961,36.0961,36.0961,36.0961,-10.4173,-0.254539,-2.05796,5.81732,-70.9692,-16.5491,-36.7786,-19.9739,-11.0874,5.50164,-3.80678,-4.69917
-0.0178996,-0.0449042,0.00037326,0.0186802,9.42535,-22.4276,0.852562,-4.5938,316.465,3.13971,-419.131,153.141,-22.2044,60.8264,-5.73476,-30.0,12.6711,8.26969,394.294,50.0465,-513.713,204.424,-58.7503,77.9888,-13.9938,-30.0,17.9629,7.5005,9.42535,9.42535,9.42535,9.42535,-16.3632,0.596477,0.352726,5.26126,-95.4619,-2.87918,-10.6296,-27.9597,-16.2537,3.63451,-1.46473,-4.36875
-0.0191068,-0.0457635,0.000362674,0.0188813,-79.0852,97.7811,-12.921,15.4886,304.59,0.883751,-451.997,188.706,-18.8939,30.5557,-3.90807,-30.0,24.0,3.05208,-270.352,31.4408,314.601,-85.7673,-36.0809,12.8493,-2.96907,11.1488,24.0,-25.0575,-79.0852,-79.0852,-79.0852,-79.0852,-0.641643,2.9943,7.59391,-4.37989,31.6036,3.46049,56.6846,0.28485,0.784886,-3.76318,9.09654,2.84661
-0.0195273,-0.0463459,0.000694999,0.0190338,6.02395,-24.112,-2.04297,2.67965,271.078,-13.5738,-364.21,142.004,-14.9235,39.2608,-0.889659,-30.0,24.0,-5.16526,-377.569,4.96036,418.422,-155.736,-3.6181,-62.2434,3.48612,30.0,-24.0,5.08569,6.02395,6.02395,6.02395,6.02395,-15.3975,4.50046,-5.24628,-0.0137231,-23.9593,26.4844,-3.18069,-19.8791,-15.9937,-4.11722,-4.9777,0.482067
-0.0198764,-0.0467317,0.000886198,0.01915,-1.90771,-19.0087,5.29316,-5.62057,33.2226,-6.64005,22.1146,-6.63941,-30.455,25.7297,-2.80176,-0.644541,24.0,-8.61064,-754.13,-25.1303,1063.03,-436.124,-13.6378,-39.1378,-31.432,30.0,-24.0,-30.0,-1.90771,-1.90771,-1.90771,-1.90771,-7.97941,5.18537,0.580835,-3.66938,-2.70886,34.0711,-23.7981,-1.62527,-7.92512,-7.6376,2.1635,2.91016
-0.0203278,-0.0471401,0.000678024,0.0192099,64.0793,-88.3464,12.6135,-12.1192,-195.977,-0.410897,449.065,-213.955,-43.8443,15.2482,-3.45234,27.229,8.67226,-9.03376,-855.07,-22.7723,1140.88,-434.018,-20.8586,-52.3955,-29.2563,30.0,-24.0,-30.0,64.0793,64.0793,64.0793,64.0793,-8.26453,5.5839,-2.82466,-3.22265,26.9437,39.32,-51.8882,-0.632993,-8.91872,-8.07768,-1.34486,2.69914
-0.0210834,-0.0476556,0.000473084,0.0193052,-8.68966,-10.1803,2.93737,-0.69784,-55.7984,1.4542,278.975,-143.09,-49.6482,50.3517,-2.22815,-20.5468,24.0,-7.40961,-906.433,-25.8927,1229.06,-465.753,-24.0377,-66.0639,-28.9319,30.0,-24.0,-30.0,-8.68966,-8.68966,-8.68966,-8.68966,-13.7391,4.4855,1.49371,-0.406653,-28.1914,39.5907,-16.576,-9.33613,-13.698,-7.63981,1.91242,0.294381
-0.0220554,-0.0482893,0.000273929,0.019407,66.665,-88.0902,15.3245,-13.841,-313.789,-1.11837,654.781,-306.546,-45.9942,1.56418,-1.30892,30.0,-11.3714,-4.8844,-945.692,-30.8112,1238.25,-463.908,-20.1249,-64.7459,-31.8541,30.0,-24.0,-30.0,66.665,66.665,66.665,66.665,-7.92473,5.62698,-6.04522,-2.80231,30.7984,41.8964,-62.7695,-0.459845,-9.06419,-7.97834,-4.43892,2.55333
-0.0231024,-0.0490311,-0.000114429,0.0193698,-23.906,16.565,1.81531,0.0422143,-28.7412,-21.8096,302.76,-174.745,-38.8141,54.163,0.764278,-30.0,4.56337,-3.92307,-889.642,-20.2596,1209.0,-460.194,-17.7824,-62.0609,-34.593,30.0,-24.0,-30.0,-23.906,-23.906,-23.906,-23.906,-11.2286,12.932,2.33864,-8.38193,-33.7476,42.1717,-9.58942,-13.9233,-13.626,-4.39266,2.68915,0.128821
-0.0240349,-0.0498169,-0.000353442,0.0192583,20.0005,-22.9377,2.7214,-3.04299,-14.8125,-2.04461,148.093,-86.2063,-38.7424,-0.211778,0.949534,-30.0,-7.88859,-1.00255,-853.736,-30.1629,1168.24,-465.244,-16.4874,-49.8073,-33.9817,30.0,-24.0,-30.0,20.0005,20.0005,20.0005,20.0005,-6.35526,5.52642,-3.91132,-3.2192,-17.0261,33.6428,-18.7885,-0.611861,-6.9831,-7.3537,-2.59755,2.84417
-0.0248922,-0.050572,-0.000563882,0.0190809,29.7099,-27.9734,1.17358,-3.03224,-52.1231,0.472922,198.039,-121.821,-37.6574,-10.8169,1.20101,-30.0,-5.9306,0.787957,-783.752,-23.4601,1087.62,-448.327,-19.0546,-38.7784,-31.4303,30.0,-24.0,-30.0,29.7099,29.7099,29.7099,29.7099,-3.38826,5.22083,-3.49822,-3.48181,-14.2864,27.7135,-19.5572,2.83976,-3.8687,-6.55345,-2.04741,3.16644
-0.0256282,-0.0512205,-0.000382382,0.0190016,23.8499,-21.2298,-0.329228,-3.143,-46.1677,3.90221,167.139,-107.558,-35.8107,-8.76162,0.92817,-26.5815,-6.01807,2.82367,-717.357,-20.6505,1010.84,-437.262,-16.6621,-28.3361,-28.211,30.0,-24.0,-26.1713,23.8499,23.8499,23.8499,23.8499,-2.27271,4.64127,-1.91657,-3.78589,-12.6879,22.9255,-18.2201,3.61155,-2.47057,-5.94351,-0.661845,3.36348
-0.026285,-0.0517256,0.00026065,0.0191441,48.7158,-52.6977,1.5972,-6.32097,-88.7887,7.30189,234.79,-134.647,-32.7906,-3.29792,0.165517,-10.6389,-9.26282,4.11238,-659.798,-18.5252,942.913,-424.819,-13.1123,-19.6755,-24.9684,30.0,-24.0,-21.9531,48.7158,48.7158,48.7158,48.7158,-1.61695,3.98623,-0.474553,-4.01929,-0.62693,18.2173,-23.5294,3.78497,-1.6045,-5.33236,0.681034,3.55658
-0.0268558,-0.0520822,0.0011518,0.019561,-26.0795,19.9307,-3.59132,-0.873207,-3.22253,11.0132,175.618,-109.751,-30.2759,41.8931,-0.501724,-30.0,24.0,4.21022,-585.879,-17.6441,900.764,-424.712,-10.8315,-15.5756,-21.5959,30.0,-24.0,-18.6245,-26.0795,-26.0795,-26.0795,-26.0795,-5.53036,2.18574,6.90909,-2.01763,-28.6733,14.3668,5.90598,-1.91229,-4.46753,-4.48185,7.53088,1.79009
-0.0273224,-0.0523172,0.00201115,0.0202404,-18.8619,7.59621,-2.69087,-1.59834,104.017,12.7947,-201.474,142.524,-28.6159,8.98688,-3.02436,-30.0,20.6981,3.59108,-553.1,-4.55423,880.792,-431.92,-14.006,-5.33105,-16.669,30.0,-24.0,-18.1341,-18.8619,-18.8619,-18.8619,-18.8619,3.26897,1.53483,-1.00388,-0.0801846,-18.4064,6.82474,6.24611,0.78012,-0.903509,-3.76765,3.8366,4.26992
-0.0277074,-0.052474,0.00281921,0.0210876,49.6603,-65.1235,7.75163,-9.72526,154.015,14.2638,-260.387,168.498,-27.8317,16.8114,-4.73034,-30.0,24.0,3.14691,-487.952,4.18198,810.737,-404.053,-17.4167,2.59574,-11.8462,30.0,-18.8926,-17.1758,49.6603,49.6603,49.6603,49.6603,0.997902,1.4081,-3.87942,0.00300806,-3.62632,2.03969,21.6605,0.236861,-0.0862473,-3.18529,6.12943,4.53802
-0.0280412,-0.0526055,0.00338075,0.0219704,71.6066,-90.8201,15.7265,-19.0078,190.391,12.7972,-341.974,209.952,-24.88,23.6906,-6.13456,-30.0,24.0,3.25797,-565.862,14.8095,589.523,-200.807,-21.0602,-84.0,-6.9695,30.0,-24.0,-15.7086,71.6066,71.6066,71.6066,71.6066,-5.01056,1.66563,-9.88351,1.28441,35.802,-6.25292,59.7957,4.87685,4.19216,-2.55632,8.34488,4.06631
-0.0283974,-0.0527563,0.00342133,0.0226359,75.4756,-94.6494,16.4867,-19.107,259.477,11.8481,-385.431,198.106,-20.7625,34.1768,-6.40966,-30.0,24.0,3.64857,-559.767,18.2049,573.975,-186.504,-19.6153,-84.0,-3.18785,30.0,-24.0,-11.7819,75.4756,75.4756,75.4756,75.4756,-4.50074,1.53924,-10.4711,0.631982,33.3509,-7.89427,61.7426,1.07349,2.34791,-2.1845,9.00644,4.24196
-0.0286573,-0.0529391,0.00366161,0.0230685,80.3285,-98.7724,16.5066,-18.6369,-139.98,-1.06956,206.031,-84.7156,-3.74572,-35.3502,-3.48,30.0,-21.8727,2.91674,-515.527,13.7727,535.539,-180.374,-11.2913,-77.3654,-1.06932,30.0,-24.0,-4.61189,80.3285,80.3285,80.3285,80.3285,-4.29025,1.15622,-11.0897,0.469147,-10.0961,4.79828,-62.4543,-9.19875,-5.8019,1.27936,-11.1265,-0.179913
-0.0288392,-0.0531412,0.00384722,0.0232723,51.7882,-67.8337,11.5087,-12.5622,-2.38643,0.914671,14.1612,16.5439,0.0103773,5.12305,-1.87643,14.6656,2.03109,1.75758,-355.169,10.9697,410.396,-165.747,-3.91074,-55.2377,1.07121,30.0,-24.0,1.42963,51.7882,51.7882,51.7882,51.7882,-9.31302,-0.278771,-6.20441,2.37735,-37.8537,4.27055,-42.6105,-15.9915,-10.156,1.71016,-6.70484,-2.10369
-0.0288886,-0.0533264,0.00406929,0.0233705,8.53806,-20.4542,2.67205,-3.1593,288.131,3.02583,-358.582,153.971,2.42353,48.4981,-0.785573,-30.0,16.732,0.665656,-233.545,11.6941,327.134,-158.238,-1.78586,-39.0424,4.01914,30.0,-24.0,5.0348,8.53806,8.53806,8.53806,8.53806,-13.5996,-1.1542,-1.53881,3.15757,-83.2907,2.09408,-6.37217,-22.4787,-13.8344,1.89751,-2.21424,-3.15374
-0.0288184,-0.0534517,0.00427993,0.0234224,4.96162,-15.2584,1.5746,-1.77096,289.213,4.8091,-332.075,132.209,5.41191,52.5595,-0.1739,-30.0,14.5779,-0.110968,-130.609,11.7554,258.037,-152.009,-2.28642,-27.6065,8.17194,30.0,-24.0,6.88671,4.96162,4.96162,4.96162,4.96162,-13.5276,-1.85577,0.585577,3.35821,-83.7372,-0.270501,-2.46158,-22.2298,-13.4693,2.17767,-0.27636,-3.20794
