com_y,sim_com_y,com_x,sim_com_x,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40
-0.0106841,-0.0391895,0.00858302,0.024933,1.21519,-5.56062,-1.59046,3.6187,-321.489,-24.4752,414.614,-160.606,-4.01836,-58.3175,4.17915,30.0,-24.0,9.11734,345.991,-38.9793,-408.654,164.205,-2.78291,65.3437,6.48019,-30.0,24.0,11.5636,1.21519,1.21519,1.21519,1.21519,6.73585,-11.5289,-15.0037,0.595987,-13.9446,44.4137,90.692,14.7568,8.93559,-8.01462,5.92957,6.86875
-0.0121879,-0.0405169,0.00795893,0.024652,33.7358,-37.9905,15.0877,-16.106,301.942,-24.7581,-384.268,157.161,-2.47967,56.2201,0.138249,-30.0,24.0,5.83063,275.713,232.03,-361.582,167.254,-154.282,51.7967,84.0,-30.0,24.0,-30.0,33.7358,33.7358,33.7358,33.7358,-12.8091,1.04057,-0.164698,4.74551,73.285,-34.4734,8.74347,20.7333,15.6109,2.05995,-1.9079,0.166966
-0.0143007,-0.0416686,0.00716173,0.0244118,-7.21329,17.0445,0.163678,-1.79813,-315.367,-22.5614,393.954,-148.478,-4.80454,-57.8246,1.5847,30.0,-24.0,5.49469,183.343,172.461,-283.947,153.793,-125.596,41.7071,58.5427,-30.0,24.0,-30.0,-7.21329,-7.21329,-7.21329,-7.21329,-14.5146,1.28273,0.746123,3.325,81.5037,-20.1002,1.88956,13.9541,10.0377,0.563249,-0.969805,1.21306
-0.0157111,-0.0429462,0.006662,0.0241711,-40.2192,32.9877,-9.48896,6.01331,-318.281,-16.3192,408.041,-160.676,-3.80917,-58.2512,3.03396,30.0,-24.0,7.16761,-159.861,81.3989,174.927,-25.4292,-80.0936,18.5877,23.8473,-2.37857,17.2318,-30.0,-40.2192,-40.2192,-40.2192,-40.2192,3.86473,4.00554,2.32253,-4.74678,-19.9868,11.6995,-20.2677,-9.16474,-13.8177,-8.17672,6.06728,1.15777
-0.0167586,-0.0438131,0.00621086,0.0239535,10.4335,-24.4234,-5.0374,-3.27036,-296.494,-13.8258,385.399,-152.816,-2.78682,-54.82,2.76084,30.0,-24.0,6.51031,-537.506,-41.2192,553.972,-160.363,4.27027,-84.0,-26.0082,30.0,-24.0,-13.4673,10.4335,10.4335,10.4335,10.4335,0.256819,3.47098,10.0264,-4.7943,-11.569,40.8807,-64.9513,-16.4566,-19.7002,-3.00813,-0.367157,-8.71529
-0.0174184,-0.0446454,0.00583551,0.0237224,1.67903,-17.488,-4.9905,-3.31627,-295.22,-8.66306,406.647,-167.272,-3.86766,-55.6602,3.69934,30.0,-24.0,6.1251,-538.356,-82.3776,559.783,-159.918,33.6591,-84.0,-43.6351,30.0,-24.0,-7.93142,1.67903,1.67903,1.67903,1.67903,-6.52999,2.26704,-10.1371,1.87757,-27.1012,51.9712,-55.799,-13.0002,-19.3406,-5.43606,0.188886,-9.03507
-0.0177746,-0.0451785,0.0058772,0.0236664,114.407,-134.87,20.7004,-27.4729,-295.03,-8.80882,392.308,-147.91,-5.88946,-55.3407,3.52601,30.0,-21.7227,5.08458,-499.574,-37.9126,563.767,-175.366,13.5398,-84.0,-45.6706,30.0,-24.0,-22.973,114.407,114.407,114.407,114.407,-14.8427,2.56213,-3.20472,2.68107,-46.0598,42.132,-48.6503,7.68556,-1.05904,-1.66786,-17.4474,-4.36539
-0.0181282,-0.0457083,0.00579169,0.0237028,56.9208,-67.9775,1.61566,-6.28038,294.889,-9.91277,-379.075,177.529,-11.8373,55.6614,3.90002,-30.0,24.0,5.16834,-517.251,-56.4101,573.821,-175.077,-1.60456,-84.0,-42.505,30.0,-24.0,-30.0,56.9208,56.9208,56.9208,56.9208,-6.09349,3.65515,-10.8763,1.37127,-11.854,47.427,-69.0386,1.59467,-9.70774,-4.64992,-8.10413,-8.51151
-0.0187264,-0.0463282,0.0056039,0.0238215,-5.44811,-15.4306,-0.211853,-5.83533,-307.072,-15.0547,411.778,-147.418,-11.0162,-51.1953,4.83551,30.0,-24.0,8.19656,-580.092,-67.5666,626.079,-198.635,0.101606,-84.0,-44.5178,30.0,-24.0,-28.534,-5.44811,-5.44811,-5.44811,-5.44811,-9.68118,2.78712,-8.51879,2.52701,-34.0228,50.6634,-41.4923,-15.822,-20.3677,-5.31844,-0.717669,-9.48144
-0.0195764,-0.0469778,0.00568488,0.0240318,-7.01772,-11.8262,1.17273,-6.9972,-942.836,-73.1561,1252.92,-435.577,4.52316,-84.0,-35.7163,30.0,-24.0,-22.876,-605.62,-98.254,619.629,-186.324,26.9381,-84.0,-48.8912,30.0,-24.0,-12.6301,-7.01772,-7.01772,-7.01772,-7.01772,-9.17545,1.91346,-6.91126,2.24232,60.2947,28.4609,43.6738,17.8232,5.53595,-8.73134,5.87018,2.81287
