com_y,sim_com_y,com_x,sim_com_x,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40
-0.0107859,-0.0392108,-0.00642766,0.0137856,-9.75018,19.3805,4.56251,-1.21759,385.201,103.361,-518.93,219.926,-114.282,62.3958,-17.7248,-30.0,24.0,0.13713,362.694,105.041,-375.873,111.788,-116.32,68.4561,-16.9875,-30.0,24.0,1.02098,-9.75018,-9.75018,-9.75018,-9.75018,16.5807,4.93748,-0.414342,-3.3116,125.242,50.0902,7.23704,34.8599,15.064,-18.489,1.93063,2.55726
-0.0123575,-0.0404134,-0.00622565,0.0139498,-7.41942,18.6,3.28467,0.660885,373.645,67.4354,-474.553,184.413,-80.1059,65.0044,-16.561,-30.0,24.0,5.76417,-365.956,26.0571,424.596,-152.769,-50.0031,-68.8431,-13.1728,30.0,-23.8914,10.0224,-7.41942,-7.41942,-7.41942,-7.41942,16.5016,4.27553,-0.208772,-3.55287,128.196,54.7379,9.088,35.9235,16.9583,-16.356,1.71519,2.54485
-0.0139615,-0.0415125,-0.00637316,0.0139961,-2.07875,10.0452,1.30239,1.25443,318.024,38.9836,-395.075,153.149,-54.7909,59.5402,-11.2717,-30.0,24.0,5.62185,-347.274,11.0742,418.464,-158.677,-33.139,-62.8584,-8.09234,30.0,-24.0,8.11105,-2.07875,-2.07875,-2.07875,-2.07875,15.5478,3.52037,-0.240181,-3.74476,87.3942,45.4212,10.1931,22.6552,17.0864,-1.06656,1.43102,4.09514
-0.0149231,-0.042387,-0.00642771,0.0139852,-53.3096,44.8329,-9.07259,8.19061,198.41,21.4216,-352.423,171.838,-43.1351,-2.76944,-9.11396,-30.0,24.0,1.19189,277.302,1.98043,-364.21,154.514,-26.6465,47.1867,-6.34016,-30.0,20.3716,3.70315,-53.3096,-53.3096,-53.3096,-53.3096,-1.15749,2.67463,-10.6442,2.1913,-24.5664,57.2586,39.2435,0.386685,16.7711,20.9271,0.950051,6.05257
-0.0157087,-0.0431111,-0.00644644,0.0139517,9.58552,-23.0304,-3.52719,-1.71041,312.175,14.5107,-390.702,146.848,-43.7111,46.3371,-7.66194,-30.0,24.0,-4.57814,308.615,-4.07936,-272.145,62.7325,-28.7606,66.9283,-6.33907,-30.0,24.0,-0.515196,9.58552,9.58552,9.58552,9.58552,-2.45672,0.729629,12.579,-0.417375,112.34,14.4915,2.2087,59.0827,25.6062,-14.9432,1.7682,7.41405
-0.0164834,-0.0436542,-0.00605285,0.0139683,0.514161,-11.0981,-4.06259,-1.58194,155.168,-1.68807,-261.788,139.247,-37.7609,21.4916,-4.59392,-30.0,24.0,-6.76335,283.764,-12.619,-294.029,101.014,-27.47,67.8661,-3.68725,-30.0,24.0,-1.95536,0.514161,0.514161,0.514161,0.514161,-2.13964,0.344985,12.5315,-0.548345,105.614,26.1295,-3.22044,59.9974,25.6283,-15.822,2.34612,9.30417
-0.017335,-0.0443108,-0.00605071,0.0141012,-5.57161,-4.1491,-4.22385,-1.5453,38.7779,-12.5727,-168.607,137.328,-32.6039,3.66336,-1.90723,-30.0,23.6856,-5.66877,267.236,-17.9903,-280.217,99.2666,-24.3638,69.2809,-1.29565,-30.0,24.0,-1.06091,-5.57161,-5.57161,-5.57161,-5.57161,-2.43737,-0.0506312,12.5295,-0.857237,102.823,33.2972,-6.35827,60.1572,25.6134,-16.0454,2.95403,10.1562
-0.0182116,-0.0450064,-0.00602815,0.0142679,-10.4908,1.17187,-3.50622,-2.18054,-161.398,-14.1217,199.919,-44.2114,-30.4042,-6.46906,-0.489021,-7.0339,10.8382,-4.64286,270.158,-18.7018,-260.923,83.5999,-21.6658,70.6182,-0.914484,-30.0,24.0,-0.475967,-10.4908,-10.4908,-10.4908,-10.4908,11.5938,1.74267,1.47967,-3.89889,102.909,36.0927,-6.83773,60.1663,25.7797,-16.0435,3.54599,10.4876
-0.0190344,-0.045688,-0.00597882,0.0144543,63.4761,-62.2347,1.24213,-4.44152,-62.7722,-10.7726,235.431,-112.939,-31.5379,56.0367,0.547734,-30.0,24.0,-4.83625,256.358,-16.7619,-234.611,68.7139,-20.2156,68.3782,-2.02012,-30.0,24.0,-0.744792,63.4761,63.4761,63.4761,63.4761,-1.56063,-0.000515648,11.3622,-0.959055,32.856,29.6077,46.2361,52.6255,24.3935,-16.202,3.19458,13.9625
-0.0197818,-0.0463829,-0.00604853,0.014618,-12.2642,2.28814,-1.16208,-4.16915,-318.172,-8.26368,545.885,-238.07,-33.2511,-14.5757,-0.11684,9.48162,-12.1283,-4.04063,278.161,-16.6729,-239.573,64.513,-20.1103,71.5446,-3.07591,-30.0,24.0,-1.87159,-12.2642,-12.2642,-12.2642,-12.2642,12.1553,2.30983,0.451016,-4.62351,101.206,29.767,-3.49897,58.9562,26.9171,-13.9165,4.45057,9.6267
-0.0205029,-0.0469497,-0.00597987,0.0147203,-7.17101,51.68,-7.13438,6.33146,-136.189,-5.36857,349.373,-144.165,-34.9601,84.0,3.58088,-30.0,14.1013,-6.76515,420.315,-16.6112,-484.567,179.037,-17.6995,59.0094,-3.54838,-30.0,24.0,-4.17472,-7.17101,-7.17101,-7.17101,-7.17101,2.41446,0.883121,7.20041,-0.1695,-159.452,61.9175,-4.65142,-22.56,13.0594,41.1421,0.422156,6.65752
-0.0211285,-0.0474507,-0.00619351,0.014744,-9.78006,-0.114346,1.1934,-6.94219,-155.046,-1.45878,225.414,-75.8539,-38.1806,-11.4707,-0.852955,-15.299,-3.10215,-1.13958,282.229,-17.0105,-193.337,7.88318,-20.0363,71.8577,-4.26991,-30.0,24.0,-2.67785,-9.78006,-9.78006,-9.78006,-9.78006,11.7688,1.89705,0.890485,-3.21715,107.183,19.9657,2.60461,55.9932,27.0513,-11.5829,5.05755,7.99954
-0.0219181,-0.0479217,-0.00553579,0.0148586,-96.1406,100.906,-14.0487,13.8179,-285.146,-6.60322,386.069,-127.851,-27.2904,-28.7244,0.504533,3.8668,5.61498,5.46017,282.804,-16.068,-212.55,21.3337,-16.6673,69.7135,-3.38762,-30.0,24.0,-0.566007,-96.1406,-96.1406,-96.1406,-96.1406,-1.5538,-0.301394,12.0003,-0.643939,44.0481,10.6065,55.194,48.2618,25.4042,-11.0366,4.61451,10.6063
-0.0226627,-0.0483763,-0.00515398,0.0151006,-59.6134,61.0799,-1.40196,3.31833,105.003,-9.88011,-201.029,114.9,-15.6296,5.84953,2.07757,-28.6985,8.21586,6.81414,296.181,-13.7279,-272.068,66.2681,-13.3791,70.549,-2.80622,-30.0,24.0,-0.169128,-59.6134,-59.6134,-59.6134,-59.6134,-0.713469,-0.0154005,11.5986,-1.38282,107.657,9.93484,4.89891,52.1396,26.6323,-8.89576,5.83422,6.06434
-0.0232594,-0.0487883,-0.00481422,0.0154911,52.0932,-63.724,-0.973359,-3.05061,-242.359,0.298762,235.163,-9.82285,-17.6719,-31.4538,-0.56771,-1.01481,20.7224,5.6451,236.432,-7.3811,-391.13,184.06,-12.2084,4.07827,-2.81054,-30.0,24.0,-1.43993,52.0932,52.0932,52.0932,52.0932,11.2991,0.95545,-0.0230077,-1.34794,-106.99,31.0667,15.8031,-22.5525,-0.832319,16.9918,12.7941,0.663812
-0.0236536,-0.049129,-0.0045743,0.0159236,-100.941,103.622,-11.097,11.7756,167.755,-6.19672,-209.505,116.106,-9.94943,43.3169,-0.0109833,-30.0,24.0,3.6439,308.498,-10.3191,-251.349,35.6705,-8.54694,69.4197,-3.21654,-30.0,24.0,-0.525687,-100.941,-100.941,-100.941,-100.941,-2.07161,-0.188829,12.0527,-1.01099,64.5725,-3.16302,50.9876,41.9319,24.4178,-6.48424,4.55383,7.45326
-0.024094,-0.0493952,-0.00405647,0.0164067,-74.1944,68.1891,-0.229979,2.44997,256.301,-7.66607,-337.476,159.739,-6.69971,41.9813,-0.420956,-30.0,23.0816,3.58097,311.957,-10.2121,-280.944,63.5954,-6.26972,62.2271,-2.25098,-30.0,24.0,0.0930458,-74.1944,-74.1944,-74.1944,-74.1944,-1.54113,-0.269428,11.9102,-0.80144,104.109,-3.64598,5.91608,46.4451,25.8487,-5.0516,5.80392,3.67697
-0.0244231,-0.0495967,-0.00374768,0.0169231,-79.7678,72.3508,-0.168272,2.68862,279.339,-5.73117,-351.93,156.711,-4.13989,42.1168,-0.666427,-30.0,21.499,3.24037,320.407,-8.13033,-299.34,76.5332,-3.29522,59.307,-1.54224,-30.0,24.0,0.754194,-79.7678,-79.7678,-79.7678,-79.7678,-1.27111,-0.482914,11.9034,-0.747297,102.24,-5.45285,4.86393,44.9319,25.3478,-4.05969,5.78323,2.64309
-0.0246706,-0.0497452,-0.00354357,0.0173921,-18.1799,13.9635,-9.5104,9.29846,200.225,3.36567,-129.985,23.654,-6.41623,59.1685,-2.54183,-30.0,24.0,3.00643,-175.706,-1.35017,178.861,-52.5705,-4.22984,-38.8417,-2.04677,13.4635,-4.99138,0.782707,-18.1799,-18.1799,-18.1799,-18.1799,-12.371,-0.619152,-0.863536,3.52625,-52.2761,4.49243,50.1772,-4.56957,-0.0664598,0.420338,12.7823,-0.223083
-0.024785,-0.0498492,-0.0033553,0.0177378,17.6385,-27.1938,5.1418,-8.16311,-335.506,-2.95856,470.893,-182.989,0.587213,-51.4238,-2.32843,30.0,-17.0859,1.15615,-323.173,-0.316643,461.948,-212.868,-3.10831,-57.0603,-2.70766,30.0,-24.0,0.625556,17.6385,17.6385,17.6385,17.6385,-16.2232,-0.71653,-0.334163,3.64637,-129.554,14.0088,-19.1667,-24.8786,-16.751,-0.710056,-1.48613,-4.51567
