com_y,sim_com_y,com_x,sim_com_x,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40
-0.0109696,0.0155717,-0.00976344,-0.0303791,-2.80019,11.1574,-1.23986,3.20518,-322.29,-18.8974,407.62,-164.844,-8.17685,-58.7655,4.65942,30.0,-24.0,7.56985,350.664,-24.4148,-415.892,154.182,-5.91289,65.208,4.96491,-30.0,24.0,8.73961,-2.80019,-2.80019,-2.80019,-2.80019,15.9889,4.70768,0.180616,-3.17008,-32.5437,-8.43224,-58.4425,6.38066,0.951131,-0.0542888,-15.9125,-2.35116
-0.0133373,0.0143591,-0.00950785,-0.0303057,-81.0966,93.8849,-13.9498,16.6319,-278.075,123.464,108.994,57.7533,-122.553,-84.0,-30.2997,30.0,-24.0,-4.52636,449.801,243.288,-485.979,152.871,-163.676,76.1609,84.0,-30.0,24.0,-30.0,-81.0966,-81.0966,-81.0966,-81.0966,1.05248,2.93407,12.009,-0.16094,-86.5546,-21.8214,-18.484,-28.829,-13.5785,6.82619,-3.01869,-2.0721
-0.0143589,0.013038,-0.00954117,-0.030169,-12.2997,22.6576,-1.52265,4.1751,-314.133,68.7254,335.914,-98.8191,-84.4832,-57.4115,-18.5974,30.0,-12.8819,1.57246,300.464,149.723,-371.21,145.717,-115.981,57.9624,49.8606,-30.0,24.0,-30.0,-12.2997,-12.2997,-12.2997,-12.2997,14.8486,4.03938,0.968747,-3.55011,-93.3127,-5.37131,-7.40813,-27.8889,-15.5787,4.01673,-1.19559,-3.42049
-0.0143039,0.0118625,-0.00953168,-0.0299928,-5.47632,15.3275,-1.19253,3.83192,10.2573,0.60931,147.398,-92.4916,-24.9324,84.0,-2.7046,-30.0,24.0,4.64787,-71.5704,11.8665,-74.1236,118.399,-31.5305,12.0878,-3.23821,-25.9994,24.0,-18.9784,-5.47632,-5.47632,-5.47632,-5.47632,16.1127,2.43414,-0.353752,-3.88699,-78.3334,15.319,-0.660877,-17.34,-12.6699,-0.856804,-1.0347,-2.26843
-0.0152739,0.0109481,-0.0095545,-0.0299358,-1.5597,12.3776,-1.74564,4.3825,-117.093,-32.7026,324.099,-154.371,1.73665,84.0,-1.41616,-30.0,24.0,-3.28471,-529.329,-46.167,530.412,-151.353,11.5565,-84.0,-27.7099,30.0,-24.0,-11.714,-1.5597,-1.5597,-1.5597,-1.5597,15.2028,1.061,-0.580468,-4.01444,-78.877,26.2278,-10.0793,-21.2854,-17.1304,-2.16866,-3.60919,-3.88593
-0.0156465,0.0103363,-0.0095333,-0.0298961,-2.98633,14.4277,-2.8231,5.52702,-489.967,-72.996,527.902,-159.783,21.4578,-84.0,-40.4376,30.0,-24.0,-18.6282,-502.275,-81.2079,551.651,-174.146,31.7757,-84.0,-45.5104,30.0,-24.0,-13.2442,-2.98633,-2.98633,-2.98633,-2.98633,14.4107,1.76241,-0.0535194,-4.50756,3.58837,34.9987,-74.1426,1.24825,-6.9837,-3.99856,-10.3616,-2.05522
-0.0158662,0.00996193,-0.00955969,-0.0298029,-90.0033,104.103,-16.2191,19.9303,-972.639,-50.2331,1267.04,-446.545,-3.15199,-84.0,-35.2255,30.0,-24.0,-30.0,-558.942,-54.4168,565.287,-160.355,2.13476,-84.0,-42.2028,30.0,-24.0,-30.0,-90.0033,-90.0033,-90.0033,-90.0033,-2.84246,0.231641,12.4,-0.856602,-22.441,37.0476,-51.7207,-5.49767,-10.8802,-4.15533,-7.56539,-3.60723
-0.0170312,0.00959377,-0.00963625,-0.0296042,-82.6363,94.4994,-16.8663,19.9139,-969.918,-39.0839,1289.03,-460.224,-17.6636,-84.0,-28.586,30.0,-24.0,-30.0,-562.03,-48.4577,573.401,-165.542,-8.08975,-84.0,-36.6197,30.0,-24.0,-30.0,-82.6363,-82.6363,-82.6363,-82.6363,-1.7055,0.694486,12.0018,-1.03506,-29.8212,35.732,-46.6953,-6.34555,-11.0428,-4.01553,-7.0073,-3.81215
-0.0171148,0.00911348,-0.00940763,-0.0293069,-85.1541,95.6308,-16.4746,19.2747,-966.322,-45.2141,1286.8,-456.148,-18.4133,-84.0,-29.0716,30.0,-24.0,-30.0,-565.356,-57.5513,578.793,-172.426,-6.61049,-84.0,-38.6023,30.0,-24.0,-30.0,-85.1541,-85.1541,-85.1541,-85.1541,-1.40513,0.67557,11.9529,-1.17871,-52.7764,36.0948,-29.5352,-8.95694,-12.1347,-4.02658,-5.92376,-4.20026
-0.0180774,0.00848244,-0.00938569,-0.0290283,-17.1062,27.319,-4.63222,7.89092,-492.263,-48.2162,562.588,-162.961,-17.2509,-84.0,-28.7567,30.0,-24.0,-30.0,-525.571,-62.3482,565.729,-178.595,-3.98068,-84.0,-40.6526,30.0,-24.0,-30.0,-17.1062,-17.1062,-17.1062,-17.1062,11.7919,1.82962,1.53696,-3.75614,-12.5946,35.3372,-60.9134,1.55325,-6.046,-4.35552,-10.6765,-2.10444
-0.0189863,0.00774505,-0.0094943,-0.0288498,-96.007,104.811,-15.7202,18.8566,-967.157,-33.6122,1284.07,-446.658,-20.0384,-84.0,-22.4149,30.0,-24.0,-30.0,-573.91,-46.7958,577.687,-171.856,-8.20546,-84.0,-37.1055,30.0,-24.0,-30.0,-96.007,-96.007,-96.007,-96.007,-2.13857,-0.278565,12.357,-0.923064,97.2284,15.2214,11.833,23.0879,11.14,-5.23787,3.25237,2.29889
